PeakID,RT left(min),RT (min),RT right (min),Mobility left,Mobility,Mobility right,CCS,Precursor m/z,Height,Area,S/N,MSMS spectrum
21504,10.90497,10.94415,10.98774,0.9536727,0.9594094,0.9694411,198.0914,443.8101,1362.5,470.5717,27.25,
21505,10.90497,10.94415,10.98774,1.073504,1.082012,1.08768,223.4054,443.8101,310.5,107.3498,6.21,
21506,10.90497,10.94415,10.98774,1.08768,1.096177,1.103253,226.3302,443.8101,563.1875,230.8603,11.26375,
21507,10.89347,10.94415,10.97149,-1.0,-1.0,-1.0,-1.0,445.2905,2142.313,6302.891,2.861605,
21508,10.89347,10.94415,10.97149,0.8889241,0.9076692,0.9148703,187.39,445.2905,436.5,279.5616,8.73,
21509,10.89347,10.94415,10.97149,0.9148703,0.9206276,0.9292578,190.0652,445.2905,478.0625,222.8028,9.56125,
21510,10.89347,10.94415,10.97149,0.9436262,0.9508033,0.9579755,196.2951,445.2905,1272.75,484.4917,22.34625,
21511,10.89347,10.94415,10.97149,0.9579755,0.9694411,0.9880468,200.1429,445.2905,1124.063,704.9521,20.71375,
21512,10.89347,10.94415,10.97149,1.00662,1.013755,1.01946,209.2916,445.2905,269.5,92.79903,5.39,
21513,10.89347,10.94415,10.97149,1.036556,1.047938,1.057887,216.3487,445.2905,585.75,245.394,11.715,
21514,10.89347,10.94415,10.97149,1.073504,1.082012,1.08768,223.3833,445.2905,856.875,326.5672,17.1375,
21515,10.89347,10.94415,10.97149,1.08768,1.099008,1.115978,226.8923,445.2905,1590.625,785.9163,31.8125,
21520,10.91645,10.94415,11.02055,-1.0,-1.0,-1.0,-1.0,630.8032,1967.188,2864.98,4.420507,
21521,10.91645,10.94415,11.02055,0.9565414,0.965143,0.9723057,197.5138,630.8032,1397.75,497.6763,27.69,
21522,10.91645,10.94415,11.02055,1.036556,1.045094,1.055046,213.8754,630.8032,759.25,259.1866,15.185,
21523,10.87086,10.94415,10.98232,-1.0,-1.0,-1.0,-1.0,640.5452,7217.063,23035.43,11.23808,
21524,10.87086,10.94415,10.98232,1.10891,1.117391,1.127276,228.5969,640.5452,1176.0,398.7512,23.52,
21525,10.87086,10.94415,10.98232,1.154061,1.162505,1.170943,237.8264,640.5452,535.75,180.8926,10.715,
21526,10.87086,10.94415,10.98232,1.204627,1.213032,1.221429,248.1632,640.5452,416.75,140.0479,8.335,
21527,10.87086,10.94415,10.98232,1.221429,1.236808,1.245187,253.0274,640.5452,1038.375,435.7367,20.7675,
21528,10.87086,10.94415,10.98232,1.254954,1.278638,1.282811,261.5849,640.5452,4108.938,3165.615,81.4375,
