,CCS,AtomCount_nC,MATS_MATS3c,MATS_MATS6s,GATS_GATS8d,GATS_GATS1p,BCUT_BCUTdv-1l,BalabanJ_BalabanJ,Chi_Xp-0dv,DistanceMatrix_VE2_D,ComplementaryIC_CIC0,Lipinski_Lipinski,GhoseFilter_GhoseFilter,Radius_Radius,ZagrebIndex_mZagreb2
LMST01040142_2-3,230.907,30,0.134453897,0.018466169,0.993682206,1.283201555,0.987228641,1.302220323,22.2917841,0.173969037,5.281304562,0,0,8,6.736111111
LMST01040242_11-12,234.78,31,0.122475106,0.008073348,0.933006248,1.322313181,0.987225149,1.37781338,23.36913437,0.170858087,5.379684958,0,0,8,6.972222222
LMST01040270_15-16,232.393,30,0.085061092,0.014829432,0.97506828,1.300448351,0.98722515,1.398531912,23.18621129,0.168488991,5.258244665,1,0,8,7.0625
LMST01040272_21-22,250.032,30,0.133090021,0.022077359,0.914186494,1.210608667,0.991799793,1.369206994,25.31859701,0.151994944,5.037096286,0,0,8,8.3125
LMST01050016_4-5,230.32,32,0.120594801,0.005016323,1.061066098,1.265130041,0.988640108,1.331108177,23.66202759,0.168869525,5.349590058,0,0,8,6.916666667
LMST01060005_11-12,219.483,29,0.089083804,-0.002008384,0.858778626,1.275921494,0.988140307,1.355643957,21.58467732,0.176287374,5.223138992,0,0,8,6.381944444
LMST01070025_12-13,216.36,27,0.113044991,-0.02305002,0.814560703,1.27294262,0.988233874,1.299326756,20.68062618,0.176459594,5.02884026,1,0,7,6.243055556
LMST01080011_8-9,220.71,28,0.08877965,-0.04479235,0.842037034,1.266630093,0.993030192,1.198301551,21.42573776,0.171094107,5.021389719,1,0,8,6.5625
LMST01080045_13-14,216.447,28,0.063396794,-0.060540808,0.834007353,1.275278678,0.993030192,1.193920803,21.10828068,0.17372128,5.044162504,1,0,8,6.368055556
LMST01090001_8-9,218.092,28,0.075893165,-0.032591056,0.810027138,1.266630093,0.993053281,1.192070803,21.47814401,0.171150912,5.021389719,1,0,8,6.576388889
LMST01100001_0-1,238.848,32,0.190046335,0.009837461,1.167930023,1.282783133,0.987970302,1.227455024,23.97394685,0.168600738,5.391243063,0,0,8,6.819444444
LMST01110005_12-13,229.542,30,0.099262154,-0.010707648,0.906454449,1.235447855,0.988159231,1.217879114,22.08467732,0.173742657,5.236579602,0,0,8,6.493055556
LMST01120001_17-18,201.635,24,0.147590184,-0.016912209,0.877567035,1.224096074,0.993459013,1.330822573,18.32344347,0.18267872,4.738214112,1,1,7,5.8125
LMST01120002_18-19,206.086,24,0.078887914,-0.038985619,0.836657724,1.203919219,0.99345978,1.397916585,18.95835764,0.176671372,4.709711892,1,0,7,6.215277778
LMST01120027_14-15,201.095,24,0.040660449,-0.013857187,0.921393576,1.178275216,0.993462331,1.274652091,18.00002111,0.18240627,4.619251375,1,1,7,5.715277778
LMST01130002_30-31,217.276,27,0.121564207,0.009666871,0.674050633,1.149837684,0.99338551,1.410451015,20.71228555,0.168471624,4.768235876,1,0,7,6.881944444
LMST01150004_13-14,220.33,28,0.055083311,-0.058499694,0.836303828,1.253205175,0.993030173,1.193920803,21.20003239,0.17372128,5.059134352,1,0,8,6.368055556
LMST01160004_1-2,232.091,29,0.156807507,-0.043272234,1.009504251,1.235845536,0.993033651,1.20827891,21.70750806,0.171496655,5.011056202,1,0,8,6.631944444
LMST01160005_14-15,221.902,28,0.162566541,-0.02883666,0.956405943,1.226768497,0.993042177,1.230052691,20.73245208,0.173904217,4.943758879,1,0,8,6.548611111
LMST01160023_1-2,227.16,29,0.179592704,0.018482111,1.042170337,1.182804697,0.993033652,1.295432327,22.13531544,0.166607389,4.921667806,1,0,7,7.041666667
