,CCS,AdjacencyMatrix_VE3_A,AtomCount_nC,AATSC_AATSC1v,MATS_MATS3c,MATS_MATS6s,GATS_GATS8d,BCUT_BCUTdv-1l,BalabanJ_BalabanJ,BaryszMatrix_VE2_DzZ,BaryszMatrix_VE2_Dzm,BaryszMatrix_VE2_Dzse,Chi_Xp-0dv,Chi_Xp-1dv,DistanceMatrix_SpMAD_D,Lipinski_Lipinski,MolecularDistanceEdge_MDEC-23,ZagrebIndex_mZagreb2
LMST02030089_10-11,187.856,2.391960942,22,5.124545529,0.122709792,-0.025100611,0.861178725,0.993385481,1.523353271,0.193422872,0.193422407,0.193421713,16.92363135,11.03168395,8.524330298,1,16.02250477,5.208333333
LMST02030271_9-10,192.337,2.487249079,22,5.94730907,0.155329683,-0.032891131,0.927489635,0.993462481,1.527838296,0.186315335,0.186314785,0.186313602,17.39540881,11.30385101,9.012736361,1,17.2674364,5.763888889
LMST03010041_4-5,217.259,2.560592904,29,3.484651478,0.05744522,0.001885028,1.009923664,0.991503065,1.440876171,0.171323495,0.171323302,0.171323586,21.849348,13.48691148,12.43420857,1,22.24650165,6.861111111
LMST03020001_0-1,228.419,2.457073996,28,2.855163288,0.136912959,0.040842051,1.307471264,0.988299645,1.346706196,0.179179372,0.179179212,0.179178649,20.55129712,13.34182243,12.14804091,0,24.1755575,6.430555556
LMST03020007_2-3,190.112,2.34612926,23,3.816634498,0.027142198,-0.071557849,1.038023743,0.993050875,1.490870204,0.189829635,0.189829352,0.189829555,17.15568215,10.96631487,9.983354939,1,20.00789131,5.777777778
LMST03020011_2-3,195.13,2.34612926,23,4.287816199,0.036076662,-0.060714728,1.03607402,0.993043619,1.490870204,0.189703423,0.189702999,0.189703074,17.32440397,11.12175533,9.983354939,1,20.00789131,5.777777778
LMST03020339_4-5,219.928,2.558049752,29,3.441033709,0.076944642,0.004699533,1.056954844,0.991745166,1.419793844,0.171058695,0.171058487,0.17105876,21.94572431,13.82886211,12.67221192,1,21.67811596,7.027777778
LMST03020340_4-5,216.895,2.560606641,29,3.441033709,0.042972302,-0.00154238,1.070862144,0.991756332,1.435442002,0.170941722,0.170941533,0.170941888,21.94572431,13.84896492,12.55625529,1,23.35814199,6.986111111
LMST03020341_4-5,216.849,2.560606641,29,3.441033709,0.042972302,-0.00154238,1.070862144,0.991756332,1.435442002,0.170941722,0.170941533,0.170941888,21.94572431,13.84896492,12.55625529,1,23.35814199,6.986111111
LMST03030001_0-1,232.419,2.492721048,29,2.763057605,0.141001931,0.026685579,1.276331897,0.988059336,1.35075406,0.176507385,0.176507219,0.176506631,21.42154061,13.75250603,12.38956215,0,24.5190068,6.625
LMST03040002_0-1,239.332,2.525544791,30,2.67665739,0.142380225,0.048536334,1.320042032,0.987225151,1.348455749,0.173826503,0.173826344,0.173825769,22.12864739,14.29051083,12.7188407,0,26.14292407,6.958333333
LMST03050001_0-1,231.991,2.525544791,30,2.683074479,0.146836509,0.038783343,1.326566724,0.987225176,1.348455749,0.173922891,0.173922714,0.173922074,21.86913437,13.97401425,12.7188407,0,26.14292407,6.958333333
LMST03060001_7-8,228.548,2.480210992,29,2.763057605,0.084885828,-0.016190783,1.067073661,0.988060048,1.400900665,0.176499234,0.176499183,0.176499384,21.42154061,13.67759107,12.04787058,0,24.04886501,6.611111111
