,CCS,ATSC_ATSC8d,MATS_MATS3c,MATS_MATS5dv,GATS_GATS2c,GATS_GATS8dv,GATS_GATS7i,BCUT_BCUTdv-1l,BaryszMatrix_SpDiam_Dzare,Chi_Xp-1dv,ZModifiedIC_ZMIC3,GhoseFilter_GhoseFilter,MolecularDistanceEdge_MDEC-23,MolecularId_MID_C,MolecularId_MID_N,MolecularId_AMID_N,Diameter_Diameter,Radius_Radius
LMST02030129_19-20,226.711,-9.29754847,0.127769869,0.017502271,0.945416636,1.207553896,1.005912202,0.987700272,310.8479928,14.09776207,24.75950962,0,20.63123775,58.02962398,2.134406738,0.06098305,18,9
LMST02030178_25-26,196.521,-0.615772235,0.161344581,-0.045391137,0.90224095,0.971098212,1.021225796,0.993055279,180.8926537,11.28070336,22.78084398,0,16.908661,48.11978584,2.130488203,0.07346511,12,6
LMST02030215_0-1,225.271,-6.19084256,0.037962077,0.027854874,0.909828407,1.090404394,1.001588495,0.99331838,220.7749334,12.97620826,28.70324081,0,25.26240694,53.98364661,2.033645291,0.065601461,14,7
LMST02030251_5-6,187.098,-3.36,0.109866816,-0.057559873,0.763067653,0.752193923,1.057872409,0.993053846,157.3030541,10.77026028,23.18843712,1,15.86453505,46.16408189,2.145354042,0.076619787,11,6
LMST02030251_7-8,186.821,2.88,0.114173334,-0.090760268,0.821807303,0.897440919,0.910436893,0.993056003,157.060806,10.72560208,23.88501554,1,14.52716453,46.09951688,2.168948612,0.07746245,11,6
LMST02030252_10-11,192.636,3.951357162,0.099279275,0.010515058,1.104497587,1.036796985,1.055828889,0.993045711,158.3929121,11.00881228,22.2574973,1,17.021612,47.85118407,2.140272418,0.079269349,12,6
LMST02030260_3-4,189.437,-8.714285714,0.117475208,-0.010838662,0.909922666,0.93725159,0.961257431,0.993388453,149.2499789,10.30996514,22.0285037,1,18.53810575,46.06351103,2.124703769,0.081719376,11,6
LMST02030271_9-10,192.337,-7.00390625,0.155329683,-0.014006326,0.837147841,1.000362502,0.949335915,0.993462481,179.0675575,11.30385101,23.35432324,0,17.2674364,46.28761737,2.134368073,0.076227431,12,6
LMST03010031_7-8,215.391,-21.991875,0.064804163,0.026539125,0.854554239,0.955631399,1.040831756,0.991503029,271.3076452,13.38534255,24.42852131,0,22.90405004,58.65083728,2.131199874,0.066599996,15,8
LMST03010031_9-10,212.336,-10.615,0.071054333,0.015657147,0.856541106,0.990479115,1.010406944,0.991503046,267.7239364,13.38534255,24.42852131,0,22.40923702,58.63383401,2.145404739,0.067043898,15,8
LMST03010041_4-5,217.259,-10.8600823,0.05744522,0.004231771,0.820486324,1.022916667,1.014330978,0.991503065,281.3019065,13.48691148,24.72492501,0,22.24650165,58.72218537,2.145425739,0.065012901,15,8
LMST03020001_0-1,228.419,-22.86390533,0.136912959,0.044463897,0.941736869,1.086357543,1.113470798,0.988299645,247.086387,13.34182243,24.70826585,0,24.1755575,56.84008192,2.074061215,0.069135374,15,8
LMST03020001_7-8,222.687,-18.37869822,0.080393535,0.005037447,0.948948934,0.994610265,1.056531847,0.98830072,248.5201565,13.26690747,24.93534807,0,23.7840107,56.72817171,2.131200071,0.071040002,15,8
LMST03020004_0-1,189.961,-20.87153991,0.140306148,-0.038537636,0.903336178,0.978696198,1.053453645,0.993582256,180.0332411,10.72409107,22.43217701,1,21.78554577,45.62963765,2.072004939,0.076740924,12,6
LMST03020007_2-3,190.112,-13.1723356,0.027142198,-0.020418395,0.843653294,0.949593488,1.003095518,0.993050875,183.4663974,10.96631487,21.48850657,1,20.00789131,47.26995,2.131217869,0.078933995,12,6
LMST03020009_4-5,190.268,-1.5,0.068060255,-0.022330685,0.867119491,1.059898143,0.959555546,0.988485106,169.2145156,10.97462954,22.81893789,1,17.96228275,46.96383338,2.144584262,0.08248401,11,6
LMST03020011_2-3,195.13,-13.21585799,0.036076662,-0.019797397,0.832773992,0.96850975,0.987383423,0.993043619,184.4219437,11.12175533,21.30217525,1,20.00789131,47.26995,2.131217869,0.078933995,12,6
LMST03020011_4-5,193.601,-2.992426036,0.065641476,-0.009636106,0.835496058,1.089656005,0.940242942,0.993043617,182.3732464,11.12175533,21.67415898,1,19.49407247,47.2558946,2.145028279,0.079445492,12,6
LMST03020013_2-3,196.711,-12.05970149,-0.009059232,-0.023770948,0.677763195,0.898816015,0.967370342,0.993043615,214.7117427,11.5868119,22.09240201,1,21.54331386,49.42984113,2.131272363,0.07349215,13,7
LMST03020013_4-5,194.026,-7.313655603,0.01370145,-0.013360531,0.678352556,0.980346807,0.941938385,0.993043612,212.0830106,11.5868119,22.45850221,1,21.01615349,49.41556058,2.145289853,0.073975512,13,7
LMST03020322_2-3,211.887,-14.03566529,0.003371698,-0.02470153,0.812538956,0.945831733,1.026287922,0.991758548,296.3491147,13.54935442,23.59651128,0,22.49633586,58.90760054,2.131305788,0.064585024,16,8
LMST03020322_4-5,217.152,-6.617283951,0.032691487,-0.016067342,0.814745085,1.030748915,1.004556474,0.991758582,293.0219418,13.54935442,23.92637301,0,21.89589959,58.89317241,2.145450292,0.065013645,16,8
LMST03020330_2-3,233.782,-20.9441138,0.017763378,0.01103932,0.967763859,0.972686822,1.044276139,0.991702843,298.354998,13.77145339,24.0424282,0,21.90938377,58.73964735,2.131304095,0.064584973,16,8
