params,Trial,mean_score
"{'regressor__C': 671.6, 'regressor__gamma': 0.00016, 'regressor__kernel': 'rbf'}",10.0,-14.418781142034245
"{'regressor__C': 671.6, 'regressor__gamma': 0.00024, 'regressor__kernel': 'rbf'}",10.0,-14.090085603177794
"{'regressor__C': 671.6, 'regressor__gamma': 0.00032, 'regressor__kernel': 'rbf'}",10.0,-13.688727665423741
"{'regressor__C': 671.6, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",10.0,-13.389854864918432
"{'regressor__C': 671.6, 'regressor__gamma': 0.00048, 'regressor__kernel': 'rbf'}",10.0,-13.169407401237626
"{'regressor__C': 671.6, 'regressor__gamma': 0.00056, 'regressor__kernel': 'rbf'}",10.0,-12.98226510984895
"{'regressor__C': 671.6, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",10.0,-12.861310208316628
"{'regressor__C': 671.6, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",10.0,-12.808310524471516
"{'regressor__C': 671.6, 'regressor__gamma': 8e-05, 'regressor__kernel': 'rbf'}",10.0,-16.51268580723855
"{'regressor__C': 671.7, 'regressor__gamma': 0.00016, 'regressor__kernel': 'rbf'}",10.0,-14.418625548113763
"{'regressor__C': 671.7, 'regressor__gamma': 0.00024, 'regressor__kernel': 'rbf'}",10.0,-14.089940583026104
"{'regressor__C': 671.7, 'regressor__gamma': 0.00032, 'regressor__kernel': 'rbf'}",10.0,-13.688635551705163
"{'regressor__C': 671.7, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",10.0,-13.389771759771515
"{'regressor__C': 671.7, 'regressor__gamma': 0.00048, 'regressor__kernel': 'rbf'}",10.0,-13.169291193142106
"{'regressor__C': 671.7, 'regressor__gamma': 0.00056, 'regressor__kernel': 'rbf'}",10.0,-12.982140929757815
"{'regressor__C': 671.7, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",10.0,-12.86128498478688
"{'regressor__C': 671.7, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",10.0,-12.808259222231115
"{'regressor__C': 671.7, 'regressor__gamma': 8e-05, 'regressor__kernel': 'rbf'}",10.0,-16.512104646998328
"{'regressor__C': 671.8, 'regressor__gamma': 0.00016, 'regressor__kernel': 'rbf'}",10.0,-14.418476070205369
