,mz,diagIonsInChian,diagIonsInRing,characteristicMass
LMST01010234_12-13_0_0_ring,444.3836,,"413.3414,395.3308,377.3203","413.3414,395.3308,377.3203"
LMST01010235_12-13_0_0_ring,446.3992,,"415.357,397.3465,379.3359","415.357,397.3465,379.3359"
LMST01010236_12-13_0_0_ring,428.3887,,397.3465,397.3465
LMST01010237_1-3_0_0_chain,426.373,384.3261,,384.3261
LMST01010237_12-13_0_0_ring,426.373,,395.3308,395.3308
LMST01010239_12-13_0_0_ring,414.373,,383.3308,383.3308
LMST01010242_12-13_0_0_ring,414.373,,"383.3308,365.3203","383.3308,365.3203"
LMST01010242_25-26_0_0_ring,414.373,,"383.3308,365.3203","383.3308,365.3203"
LMST01010243_14-15_0_0_ring,400.3938,,369.3516,369.3516
LMST01010245_9-10_0_0_ring,458.3992,,427.357,427.357
LMST01010247_12-13_0_0_ring,414.373,,"383.3308,365.3203","383.3308,365.3203"
LMST01010247_14-15_0_0_ring,414.373,,"383.3308,365.3203","383.3308,365.3203"
LMST01010248_14-15_0_0_ring,414.373,,383.3308,383.3308
LMST01010249_12-13_0_0_ring,446.3628,,"415.3206,397.3101,379.2995","415.3206,397.3101,379.2995"
LMST01010250_12-13_0_0_ring,462.3578,,"431.3156,413.305,395.2944","431.3156,413.305,395.2944"
LMST01010251_12-13_0_0_ring,462.3578,,"431.3156,413.305,395.2944","431.3156,413.305,395.2944"
LMST01010252_14-15_0_0_ring,460.3421,,"429.2999,411.2894","429.2999,411.2894"
LMST01010253_11-12_0_0_ring,430.3679,,"399.3257,381.3152,363.3046","399.3257,381.3152,363.3046"
LMST01010253_13-14_0_0_ring,430.3679,,"399.3257,381.3152,363.3046","399.3257,381.3152,363.3046"
LMST01010254_11-12_0_0_ring,412.3574,,"381.3152,363.3046","381.3152,363.3046"
LMST01010254_13-14_0_0_ring,412.3574,,"381.3152,363.3046","381.3152,363.3046"
LMST01010254_15-16_0_0_ring,412.3574,,"381.3152,363.3046","381.3152,363.3046"
LMST01010255_11-12_0_0_ring,446.3628,,"415.3206,397.3101,379.2995","415.3206,397.3101,379.2995"
LMST01010256_11-12_0_0_ring,446.3628,,"415.3206,397.3101,379.2995","415.3206,397.3101,379.2995"
LMST01010257_11-12_0_0_ring,444.3472,,"413.305,395.2944","413.305,395.2944"
LMST01010257_13-14_0_0_ring,444.3472,,"413.305,395.2944","413.305,395.2944"
LMST01010258_12-13_0_0_ring,462.3578,,"431.3156,413.305,395.2944","431.3156,413.305,395.2944"
LMST01010259_12-13_0_0_ring,444.3472,,"413.305,395.2944,377.2839","413.305,395.2944,377.2839"
LMST01010259_25-26_0_0_ring,444.3472,,"413.305,395.2944,377.2839","413.305,395.2944,377.2839"
LMST01010260_12-13_0_0_ring,446.3628,,"415.3206,397.3101,379.2995","415.3206,397.3101,379.2995"
