,mz,diagIonsInChian,diagIonsInRing,characteristicMass
LMST03010043_4-5_0_0_chain,458.3628,"306.2791,288.2686,182.1176,164.107,146.0964",,"306.2791,288.2686,182.1176,164.107,146.0964"
LMST03010043_17-18_0_0_chain,458.3628,"358.274,340.2635,322.2529,130.1226,112.1121",,"358.274,340.2635,322.2529,130.1226,112.1121"
LMST03010044_0-1_0_0_chain,458.3628,"444.3472,426.3366,408.3261",,"444.3472,426.3366,408.3261"
LMST03010044_2-3_0_0_chain,458.3628,"156.1019,138.0913,120.0808,332.2948,314.2842",,"156.1019,138.0913,120.0808,332.2948,314.2842"
LMST03010044_4-5_0_0_chain,458.3628,"306.2791,288.2686,182.1176,164.107,146.0964",,"306.2791,288.2686,182.1176,164.107,146.0964"
LMST03010044_17-18_0_0_chain,458.3628,"358.274,340.2635,322.2529,130.1226,112.1121",,"358.274,340.2635,322.2529,130.1226,112.1121"
LMST03010045_0-1_0_0_chain,458.3628,"444.3472,426.3366,408.3261",,"444.3472,426.3366,408.3261"
LMST03010045_2-3_0_0_chain,458.3628,"156.1019,138.0913,120.0808,332.2948,314.2842",,"156.1019,138.0913,120.0808,332.2948,314.2842"
LMST03010045_4-5_0_0_chain,458.3628,"306.2791,288.2686,182.1176,164.107,146.0964",,"306.2791,288.2686,182.1176,164.107,146.0964"
LMST03010045_17-18_0_0_chain,458.3628,"358.274,340.2635,322.2529,130.1226,112.1121",,"358.274,340.2635,322.2529,130.1226,112.1121"
LMST03010046_0-1_0_0_chain,458.3628,"444.3472,426.3366,408.3261",,"444.3472,426.3366,408.3261"
LMST03010046_2-3_0_0_chain,458.3628,"156.1019,138.0913,120.0808,332.2948,314.2842",,"156.1019,138.0913,120.0808,332.2948,314.2842"
LMST03010046_4-5_0_0_chain,458.3628,"306.2791,288.2686,182.1176,164.107,146.0964",,"306.2791,288.2686,182.1176,164.107,146.0964"
LMST03010046_17-18_0_0_chain,458.3628,"358.274,340.2635,322.2529,130.1226,112.1121",,"358.274,340.2635,322.2529,130.1226,112.1121"
LMST03010047_0-1_0_0_chain,458.3628,"444.3472,426.3366,408.3261",,"444.3472,426.3366,408.3261"
LMST03010047_2-3_0_0_chain,458.3628,"156.1019,138.0913,120.0808,332.2948,314.2842",,"156.1019,138.0913,120.0808,332.2948,314.2842"
LMST03010047_4-5_0_0_chain,458.3628,"306.2791,288.2686,182.1176,164.107,146.0964",,"306.2791,288.2686,182.1176,164.107,146.0964"
LMST03010047_17-18_0_0_chain,458.3628,"358.274,340.2635,322.2529,130.1226,112.1121",,"358.274,340.2635,322.2529,130.1226,112.1121"
LMST03010048_0-1_0_0_chain,458.3628,"444.3472,426.3366,408.3261",,"444.3472,426.3366,408.3261"
LMST03010048_7-8_0_0_chain,458.3628,"140.107,122.0964,348.2897,330.2791,312.2686",,"140.107,122.0964,348.2897,330.2791,312.2686"
LMST03010048_9-10_0_0_chain,458.3628,"322.274,304.2635,286.2529,166.1226,148.1121",,"322.274,304.2635,286.2529,166.1226,148.1121"
LMST03010048_22-23_0_0_chain,458.3628,"342.2791,324.2686,146.1176,128.107,110.0964",,"342.2791,324.2686,146.1176,128.107,110.0964"
LMST03010049_0-1_0_0_chain,458.3628,"444.3472,426.3366,408.3261",,"444.3472,426.3366,408.3261"
LMST03010049_7-8_0_0_chain,458.3628,"140.107,122.0964,348.2897,330.2791,312.2686",,"140.107,122.0964,348.2897,330.2791,312.2686"
LMST03010049_9-10_0_0_chain,458.3628,"322.274,304.2635,286.2529,166.1226,148.1121",,"322.274,304.2635,286.2529,166.1226,148.1121"
LMST03010049_22-23_0_0_chain,458.3628,"342.2791,324.2686,146.1176,128.107,110.0964",,"342.2791,324.2686,146.1176,128.107,110.0964"
LMST03010050_0-1_0_0_chain,458.3628,"444.3472,426.3366,408.3261",,"444.3472,426.3366,408.3261"
LMST03010050_7-8_0_0_chain,458.3628,"140.107,122.0964,348.2897,330.2791,312.2686",,"140.107,122.0964,348.2897,330.2791,312.2686"
LMST03010050_9-10_0_0_chain,458.3628,"322.274,304.2635,286.2529,166.1226,148.1121",,"322.274,304.2635,286.2529,166.1226,148.1121"
LMST03010050_22-23_0_0_chain,458.3628,"342.2791,324.2686,146.1176,128.107,110.0964",,"342.2791,324.2686,146.1176,128.107,110.0964"
LMST03010051_0-1_0_0_chain,474.3578,"460.3421,442.3316,424.321",,"460.3421,442.3316,424.321"
LMST03010051_2-3_0_0_chain,474.3578,"156.1019,138.0913,120.0808,348.2897,330.2791,312.2686",,"156.1019,138.0913,120.0808,348.2897,330.2791,312.2686"
LMST03010051_4-5_0_0_chain,474.3578,"322.274,304.2635,286.2529,182.1176,164.107,146.0964",,"322.274,304.2635,286.2529,182.1176,164.107,146.0964"
LMST03010051_17-18_0_0_chain,474.3578,"358.274,340.2635,322.2529,146.1176,128.107,110.0964",,"358.274,340.2635,322.2529,146.1176,128.107,110.0964"
LMST03010052_0-1_0_0_chain,474.3578,"460.3421,442.3316,424.321",,"460.3421,442.3316,424.321"
LMST03010052_2-3_0_0_chain,474.3578,"156.1019,138.0913,120.0808,348.2897,330.2791,312.2686",,"156.1019,138.0913,120.0808,348.2897,330.2791,312.2686"
LMST03010052_4-5_0_0_chain,474.3578,"322.274,304.2635,286.2529,182.1176,164.107,146.0964",,"322.274,304.2635,286.2529,182.1176,164.107,146.0964"
LMST03010052_17-18_0_0_chain,474.3578,"358.274,340.2635,322.2529,146.1176,128.107,110.0964",,"358.274,340.2635,322.2529,146.1176,128.107,110.0964"
LMST03010053_0-1_0_0_chain,474.3578,"460.3421,442.3316,424.321",,"460.3421,442.3316,424.321"
LMST03010053_2-3_0_0_chain,474.3578,"156.1019,138.0913,120.0808,348.2897,330.2791,312.2686",,"156.1019,138.0913,120.0808,348.2897,330.2791,312.2686"
LMST03010053_4-5_0_0_chain,474.3578,"322.274,304.2635,286.2529,182.1176,164.107,146.0964",,"322.274,304.2635,286.2529,182.1176,164.107,146.0964"
LMST03010053_17-18_0_0_chain,474.3578,"358.274,340.2635,322.2529,146.1176,128.107,110.0964",,"358.274,340.2635,322.2529,146.1176,128.107,110.0964"
LMST03010054_0-1_0_0_chain,490.3527,"476.337,458.3265,440.3159",,"476.337,458.3265,440.3159"
LMST03010054_2-3_0_0_chain,490.3527,"156.1019,138.0913,120.0808,364.2846,346.274,328.2635",,"156.1019,138.0913,120.0808,364.2846,346.274,328.2635"
LMST03010054_4-5_0_0_chain,490.3527,"338.269,320.2584,302.2478,182.1176,164.107,146.0964",,"338.269,320.2584,302.2478,182.1176,164.107,146.0964"
LMST03010054_17-18_0_0_chain,490.3527,"358.274,340.2635,322.2529,162.1125,144.1019,126.0913",,"358.274,340.2635,322.2529,162.1125,144.1019,126.0913"
LMST03010055_0-1_0_0_chain,490.3527,"476.337,458.3265,440.3159",,"476.337,458.3265,440.3159"
LMST03010055_2-3_0_0_chain,490.3527,"156.1019,138.0913,120.0808,364.2846,346.274,328.2635",,"156.1019,138.0913,120.0808,364.2846,346.274,328.2635"
LMST03010055_4-5_0_0_chain,490.3527,"338.269,320.2584,302.2478,182.1176,164.107,146.0964",,"338.269,320.2584,302.2478,182.1176,164.107,146.0964"
LMST03010055_17-18_0_0_chain,490.3527,"358.274,340.2635,322.2529,162.1125,144.1019,126.0913",,"358.274,340.2635,322.2529,162.1125,144.1019,126.0913"
LMST03010056_13-14_0_0_chain,428.3887,"290.2842,168.1383,150.1277",,"290.2842,168.1383,150.1277"
LMST03010056_15-16_0_0_chain,428.3887,"142.1226,124.1121,316.2999",,"142.1226,124.1121,316.2999"
LMST03010056_5-6_0_0_chain,428.3887,"114.1277,344.2948,326.2842",,"114.1277,344.2948,326.2842"
LMST03010057_13-14_0_0_chain,428.3887,"290.2842,168.1383,150.1277",,"290.2842,168.1383,150.1277"
LMST03010057_15-16_0_0_chain,428.3887,"142.1226,124.1121,316.2999",,"142.1226,124.1121,316.2999"
LMST03010057_5-6_0_0_chain,428.3887,"114.1277,344.2948,326.2842",,"114.1277,344.2948,326.2842"
LMST03010058_0-1_0_0_chain,456.3836,"442.3679,424.3574,406.3468",,"442.3679,424.3574,406.3468"
LMST03010058_2-3_0_0_chain,456.3836,"156.1019,138.0913,120.0808,330.3155",,"156.1019,138.0913,120.0808,330.3155"
LMST03010058_4-5_0_0_chain,456.3836,"304.2999,182.1176,164.107,146.0964",,"304.2999,182.1176,164.107,146.0964"
LMST03010058_17-18_0_0_chain,456.3836,"358.274,340.2635,322.2529,128.1434",,"358.274,340.2635,322.2529,128.1434"
LMST03010059_0-1_0_0_chain,472.3785,"458.3628,440.3523,422.3417",,"458.3628,440.3523,422.3417"
LMST03010059_2-3_0_0_chain,472.3785,"156.1019,138.0913,120.0808,346.3104,328.2999",,"156.1019,138.0913,120.0808,346.3104,328.2999"
LMST03010059_4-5_0_0_chain,472.3785,"320.2948,302.2842,182.1176,164.107,146.0964",,"320.2948,302.2842,182.1176,164.107,146.0964"
LMST03010059_17-18_0_0_chain,472.3785,"358.274,340.2635,322.2529,144.1383,126.1277",,"358.274,340.2635,322.2529,144.1383,126.1277"
LMST03010062_0-1_0_0_chain,458.3628,"444.3472,426.3366,408.3261",,"444.3472,426.3366,408.3261"
LMST03010062_2-3_0_0_chain,458.3628,"156.1019,138.0913,120.0808,332.2948,314.2842",,"156.1019,138.0913,120.0808,332.2948,314.2842"
LMST03010062_4-5_0_0_chain,458.3628,"306.2791,288.2686,182.1176,164.107,146.0964",,"306.2791,288.2686,182.1176,164.107,146.0964"
LMST03010062_17-18_0_0_chain,458.3628,"358.274,340.2635,322.2529,130.1226,112.1121",,"358.274,340.2635,322.2529,130.1226,112.1121"
LMST03010065_0-1_0_0_chain,470.3992,"456.3836,438.373,420.3625",,"456.3836,438.373,420.3625"
LMST03010065_2-3_0_0_chain,470.3992,"156.1019,138.0913,120.0808,344.3312",,"156.1019,138.0913,120.0808,344.3312"
LMST03010065_4-5_0_0_chain,470.3992,"318.3155,182.1176,164.107,146.0964",,"318.3155,182.1176,164.107,146.0964"
LMST03010065_17-18_0_0_chain,470.3992,"358.274,340.2635,322.2529,142.159",,"358.274,340.2635,322.2529,142.159"
LMST03010066_0-1_0_0_chain,470.3992,"456.3836,438.373,420.3625",,"456.3836,438.373,420.3625"
LMST03010066_2-3_0_0_chain,470.3992,"156.1019,138.0913,120.0808,344.3312",,"156.1019,138.0913,120.0808,344.3312"
LMST03010066_4-5_0_0_chain,470.3992,"318.3155,182.1176,164.107,146.0964",,"318.3155,182.1176,164.107,146.0964"
LMST03010066_17-18_0_0_chain,470.3992,"358.274,340.2635,322.2529,142.159",,"358.274,340.2635,322.2529,142.159"
LMST03010067_12-13_0_0_ring,494.3298,,463.2876,463.2876
LMST03010067_14-15_0_0_ring,494.3298,,463.2876,463.2876
LMST03010068_5-6_0_0_chain,426.373,"114.1277,342.2791,324.2686",,"114.1277,342.2791,324.2686"
LMST03010068_20-21_0_0_ring,426.373,,"395.3308,377.3203","395.3308,377.3203"
LMST03010069_0-1_0_0_chain,442.3679,"428.3523,410.3417,392.3312",,"428.3523,410.3417,392.3312"
LMST03010069_2-3_0_0_chain,442.3679,"156.1019,138.0913,120.0808,316.2999",,"156.1019,138.0913,120.0808,316.2999"
LMST03010069_4-5_0_0_chain,442.3679,"290.2842,182.1176,164.107,146.0964",,"290.2842,182.1176,164.107,146.0964"
LMST03010069_17-18_0_0_chain,442.3679,"358.274,340.2635,322.2529,114.1277",,"358.274,340.2635,322.2529,114.1277"
LMST03010070_0-1_0_0_chain,602.4051,"588.3894,570.3789,552.3683",,"588.3894,570.3789,552.3683"
LMST03010070_19-20_0_0_chain,602.4051,"316.1391,298.1285,280.118,316.2999",,"316.1391,298.1285,280.118,316.2999"
LMST03010070_21-22_0_0_chain,602.4051,"290.2842,342.1547,324.1442,306.1336",,"290.2842,342.1547,324.1442,306.1336"
LMST03010070_34-35_0_0_chain,602.4051,"518.3112,500.3006,482.2901,114.1277",,"518.3112,500.3006,482.2901,114.1277"
LMST03010072_0-1_0_0_chain,602.4051,"588.3894,570.3789,552.3683",,"588.3894,570.3789,552.3683"
LMST03010072_19-20_0_0_chain,602.4051,"316.1391,298.1285,280.118,316.2999",,"316.1391,298.1285,280.118,316.2999"
LMST03010072_21-22_0_0_chain,602.4051,"290.2842,342.1547,324.1442,306.1336",,"290.2842,342.1547,324.1442,306.1336"
LMST03010072_34-35_0_0_chain,602.4051,"518.3112,500.3006,482.2901,114.1277",,"518.3112,500.3006,482.2901,114.1277"
LMST03010074_0-1_0_0_chain,458.3628,"444.3472,426.3366,408.3261",,"444.3472,426.3366,408.3261"
LMST03010075_0-1_0_0_chain,474.3578,"460.3421,442.3316,424.321",,"460.3421,442.3316,424.321"
LMST03010076_0-1_0_0_chain,456.3472,"442.3316,424.321",,"442.3316,424.321"
LMST03010077_24-25_0_0_chain,504.3683,"114.1277,391.2479,420.2744,421.2823",,"114.1277,391.2479,420.2744,421.2823"
LMST03010077_14-15_0_0_ring,504.3683,,473.3261,473.3261
LMST03010078_5-6_0_0_chain,446.3628,"114.1277,333.2424,362.269,363.2768",,"114.1277,333.2424,362.269,363.2768"
LMST03010078_20-21_0_0_ring,446.3628,,415.3207,415.3207
LMST03020001_0-1_0_0_chain,414.373,"400.3574,382.3468",,"400.3574,382.3468"
LMST03020001_7-8_0_0_chain,414.373,"140.107,122.0964,304.2999",,"140.107,122.0964,304.2999"
LMST03020001_9-10_0_0_chain,414.373,"278.2842,166.1226,148.1121",,"278.2842,166.1226,148.1121"
LMST03020002_0-1_0_0_chain,344.2584,"330.2427,312.2322",,"330.2427,312.2322"
LMST03020002_7-8_0_0_chain,344.2584,"140.107,122.0964,234.1852",,"140.107,122.0964,234.1852"
LMST03020002_9-10_0_0_chain,344.2584,"208.1696,166.1226,148.1121",,"208.1696,166.1226,148.1121"
LMST03020003_0-1_0_0_chain,360.2533,"346.2376,328.2271,310.2165",,"346.2376,328.2271,310.2165"
LMST03020003_2-3_0_0_chain,360.2533,"156.1019,138.0913,120.0808,234.1852",,"156.1019,138.0913,120.0808,234.1852"
LMST03020003_4-5_0_0_chain,360.2533,"208.1696,182.1176,164.107,146.0964",,"208.1696,182.1176,164.107,146.0964"
LMST03020004_0-1_0_0_chain,376.2482,"362.2326,344.222,326.2114",,"362.2326,344.222,326.2114"
LMST03020004_2-3_0_0_chain,376.2482,"156.1019,138.0913,120.0808,250.1801,232.1696",,"156.1019,138.0913,120.0808,250.1801,232.1696"
LMST03020004_4-5_0_0_chain,376.2482,"224.1645,206.1539,182.1176,164.107,146.0964",,"224.1645,206.1539,182.1176,164.107,146.0964"
LMST03020005_0-1_0_0_chain,392.2431,"378.2275,360.2169,342.2064",,"378.2275,360.2169,342.2064"
LMST03020005_2-3_0_0_chain,392.2431,"156.1019,138.0913,120.0808,266.1751,248.1645,230.1539",,"156.1019,138.0913,120.0808,266.1751,248.1645,230.1539"
LMST03020005_4-5_0_0_chain,392.2431,"240.1594,222.1488,204.1383,182.1176,164.107,146.0964",,"240.1594,222.1488,204.1383,182.1176,164.107,146.0964"
LMST03020006_0-1_0_0_chain,362.269,"348.2533,330.2427,312.2322",,"348.2533,330.2427,312.2322"
LMST03020006_2-3_0_0_chain,362.269,"156.1019,138.0913,120.0808,236.2009,218.1903",,"156.1019,138.0913,120.0808,236.2009,218.1903"
LMST03020006_4-5_0_0_chain,362.269,"210.1852,192.1747,182.1176,164.107,146.0964",,"210.1852,192.1747,182.1176,164.107,146.0964"
LMST03020007_0-1_0_0_chain,374.269,"360.2533,342.2427,324.2322",,"360.2533,342.2427,324.2322"
LMST03020007_2-3_0_0_chain,374.269,"156.1019,138.0913,120.0808,248.2009",,"156.1019,138.0913,120.0808,248.2009"
LMST03020007_4-5_0_0_chain,374.269,"222.1852,182.1176,164.107,146.0964",,"222.1852,182.1176,164.107,146.0964"
LMST03020008_8-9_0_0_chain,422.2359,"222.1852,230.0845,212.074",,"222.1852,230.0845,212.074"
LMST03020008_11-12_0_0_ring,422.2359,,"391.1937,373.1832","391.1937,373.1832"
LMST03020009_0-1_0_0_chain,360.2897,"346.274,328.2635,310.2529",,"346.274,328.2635,310.2529"
LMST03020009_2-3_0_0_chain,360.2897,"156.1019,138.0913,120.0808,234.2216",,"156.1019,138.0913,120.0808,234.2216"
LMST03020009_4-5_0_0_chain,360.2897,"208.206,182.1176,164.107,146.0964",,"208.206,182.1176,164.107,146.0964"
LMST03020010_0-1_0_0_chain,360.2897,"346.274,328.2635,310.2529",,"346.274,328.2635,310.2529"
LMST03020010_7-8_0_0_chain,360.2897,"140.107,122.0964,250.2165,232.206",,"140.107,122.0964,250.2165,232.206"
LMST03020010_9-10_0_0_chain,360.2897,"224.2009,206.1903,166.1226,148.1121",,"224.2009,206.1903,166.1226,148.1121"
LMST03020011_0-1_0_0_chain,376.2846,"362.269,344.2584,326.2478",,"362.269,344.2584,326.2478"
LMST03020011_2-3_0_0_chain,376.2846,"156.1019,138.0913,120.0808,250.2165,232.206",,"156.1019,138.0913,120.0808,250.2165,232.206"
LMST03020011_4-5_0_0_chain,376.2846,"224.2009,206.1903,182.1176,164.107,146.0964",,"224.2009,206.1903,182.1176,164.107,146.0964"
LMST03020012_8-9_0_0_chain,424.2516,"224.2009,206.1903,230.0845,212.074",,"224.2009,206.1903,230.0845,212.074"
LMST03020012_11-12_0_0_ring,424.2516,,"393.2094,375.1988,357.1883","393.2094,375.1988,357.1883"
LMST03020013_0-1_0_0_chain,404.2795,"390.2639,372.2533,354.2428",,"390.2639,372.2533,354.2428"
LMST03020013_2-3_0_0_chain,404.2795,"156.1019,138.0913,120.0808,278.2114,260.2009",,"156.1019,138.0913,120.0808,278.2114,260.2009"
LMST03020013_4-5_0_0_chain,404.2795,"252.1958,234.1852,182.1176,164.107,146.0964",,"252.1958,234.1852,182.1176,164.107,146.0964"
LMST03020014_0-1_0_0_chain,374.3053,"360.2897,342.2791,324.2686",,"360.2897,342.2791,324.2686"
LMST03020014_2-3_0_0_chain,374.3053,"156.1019,138.0913,120.0808,248.2373",,"156.1019,138.0913,120.0808,248.2373"
LMST03020014_4-5_0_0_chain,374.3053,"222.2216,182.1176,164.107,146.0964",,"222.2216,182.1176,164.107,146.0964"
LMST03020015_0-1_0_0_chain,374.3053,"360.2897,342.2791,324.2686",,"360.2897,342.2791,324.2686"
LMST03020015_7-8_0_0_chain,374.3053,"140.107,122.0964,264.2322,246.2216",,"140.107,122.0964,264.2322,246.2216"
LMST03020015_9-10_0_0_chain,374.3053,"238.2165,220.206,166.1226,148.1121",,"238.2165,220.206,166.1226,148.1121"
LMST03020016_0-1_0_0_chain,374.3053,"360.2897,342.2791,324.2686",,"360.2897,342.2791,324.2686"
LMST03020016_7-8_0_0_chain,374.3053,"140.107,122.0964,264.2322,246.2216",,"140.107,122.0964,264.2322,246.2216"
LMST03020016_9-10_0_0_chain,374.3053,"238.2165,220.206,166.1226,148.1121",,"238.2165,220.206,166.1226,148.1121"
LMST03020017_0-1_0_0_chain,374.3053,"360.2897,342.2791,324.2686",,"360.2897,342.2791,324.2686"
LMST03020017_7-8_0_0_chain,374.3053,"140.107,122.0964,264.2322,246.2216",,"140.107,122.0964,264.2322,246.2216"
LMST03020017_9-10_0_0_chain,374.3053,"238.2165,220.206,166.1226,148.1121",,"238.2165,220.206,166.1226,148.1121"
LMST03020018_0-1_0_0_chain,374.3053,"360.2897,342.2791,324.2686",,"360.2897,342.2791,324.2686"
LMST03020018_7-8_0_0_chain,374.3053,"140.107,122.0964,264.2322,246.2216",,"140.107,122.0964,264.2322,246.2216"
LMST03020018_9-10_0_0_chain,374.3053,"238.2165,220.206,166.1226,148.1121",,"238.2165,220.206,166.1226,148.1121"
LMST03020019_0-1_0_0_chain,374.3053,"360.2897,342.2791,324.2686",,"360.2897,342.2791,324.2686"
LMST03020019_7-8_0_0_chain,374.3053,"140.107,122.0964,264.2322,246.2216",,"140.107,122.0964,264.2322,246.2216"
LMST03020019_9-10_0_0_chain,374.3053,"238.2165,220.206,166.1226,148.1121",,"238.2165,220.206,166.1226,148.1121"
LMST03020020_0-1_0_0_chain,390.3003,"376.2846,358.274,340.2635",,"376.2846,358.274,340.2635"
LMST03020020_2-3_0_0_chain,390.3003,"156.1019,138.0913,120.0808,264.2322,246.2216",,"156.1019,138.0913,120.0808,264.2322,246.2216"
LMST03020020_4-5_0_0_chain,390.3003,"238.2165,220.206,182.1176,164.107,146.0964",,"238.2165,220.206,182.1176,164.107,146.0964"
LMST03020021_0-1_0_0_chain,402.3003,"388.2846,370.274,352.2635",,"388.2846,370.274,352.2635"
LMST03020021_7-8_0_0_chain,402.3003,"140.107,122.0964,292.2271,274.2165",,"140.107,122.0964,292.2271,274.2165"
LMST03020021_9-10_0_0_chain,402.3003,"266.2114,248.2009,166.1226,148.1121",,"266.2114,248.2009,166.1226,148.1121"
LMST03020022_0-1_0_0_chain,418.2952,"404.2795,386.269,368.2584",,"404.2795,386.269,368.2584"
LMST03020022_2-3_0_0_chain,418.2952,"156.1019,138.0913,120.0808,292.2271,274.2165",,"156.1019,138.0913,120.0808,292.2271,274.2165"
LMST03020022_4-5_0_0_chain,418.2952,"266.2114,248.2009,182.1176,164.107,146.0964",,"266.2114,248.2009,182.1176,164.107,146.0964"
LMST03020023_0-1_0_0_chain,404.3159,"390.3002,372.2897,354.2791",,"390.3002,372.2897,354.2791"
LMST03020023_2-3_0_0_chain,404.3159,"156.1019,138.0913,120.0808,278.2478,260.2373",,"156.1019,138.0913,120.0808,278.2478,260.2373"
LMST03020023_4-5_0_0_chain,404.3159,"252.2322,234.2216,182.1176,164.107,146.0964",,"252.2322,234.2216,182.1176,164.107,146.0964"
LMST03020024_0-1_0_0_chain,470.324,"456.3084,438.2978,420.2872",,"456.3084,438.2978,420.2872"
LMST03020024_7-8_0_0_chain,470.324,"140.107,122.0964,360.2509,342.2403",,"140.107,122.0964,360.2509,342.2403"
LMST03020024_9-10_0_0_chain,470.324,"334.2352,316.2246,166.1226,148.1121",,"334.2352,316.2246,166.1226,148.1121"
LMST03020025_0-1_0_0_chain,432.3108,"418.2952,400.2846,382.274",,"418.2952,400.2846,382.274"
LMST03020025_2-3_0_0_chain,432.3108,"156.1019,138.0913,120.0808,306.2427,288.2322",,"156.1019,138.0913,120.0808,306.2427,288.2322"
LMST03020025_4-5_0_0_chain,432.3108,"280.2271,262.2165,182.1176,164.107,146.0964",,"280.2271,262.2165,182.1176,164.107,146.0964"
LMST03020026_0-1_0_0_chain,418.3315,"404.3159,386.3053,368.2948",,"404.3159,386.3053,368.2948"
LMST03020026_2-3_0_0_chain,418.3315,"156.1019,138.0913,120.0808,292.2635",,"156.1019,138.0913,120.0808,292.2635"
LMST03020026_4-5_0_0_chain,418.3315,"266.2478,182.1176,164.107,146.0964",,"266.2478,182.1176,164.107,146.0964"
LMST03020027_0-1_0_0_chain,418.3315,"404.3159,386.3053,368.2948",,"404.3159,386.3053,368.2948"
LMST03020027_2-3_0_0_chain,418.3315,"156.1019,138.0913,120.0808,292.2635,274.2529",,"156.1019,138.0913,120.0808,292.2635,274.2529"
LMST03020027_4-5_0_0_chain,418.3315,"266.2478,248.2373,182.1176,164.107,146.0964",,"266.2478,248.2373,182.1176,164.107,146.0964"
LMST03020028_0-1_0_0_chain,418.3315,"404.3159,386.3053,368.2948",,"404.3159,386.3053,368.2948"
LMST03020028_2-3_0_0_chain,418.3315,"156.1019,138.0913,120.0808,292.2635,274.2529",,"156.1019,138.0913,120.0808,292.2635,274.2529"
LMST03020028_4-5_0_0_chain,418.3315,"266.2478,248.2373,182.1176,164.107,146.0964",,"266.2478,248.2373,182.1176,164.107,146.0964"
LMST03020029_0-1_0_0_chain,434.3265,"420.3108,402.3002,384.2897",,"420.3108,402.3002,384.2897"
LMST03020029_2-3_0_0_chain,434.3265,"156.1019,138.0913,120.0808,308.2584,290.2478",,"156.1019,138.0913,120.0808,308.2584,290.2478"
LMST03020029_4-5_0_0_chain,434.3265,"282.2427,264.2322,182.1176,164.107,146.0964",,"282.2427,264.2322,182.1176,164.107,146.0964"
LMST03020030_0-1_0_0_chain,434.3265,"420.3108,402.3002,384.2897",,"420.3108,402.3002,384.2897"
LMST03020030_2-3_0_0_chain,434.3265,"156.1019,138.0913,120.0808,308.2584,290.2478",,"156.1019,138.0913,120.0808,308.2584,290.2478"
LMST03020030_4-5_0_0_chain,434.3265,"282.2427,264.2322,182.1176,164.107,146.0964",,"282.2427,264.2322,182.1176,164.107,146.0964"
LMST03020031_0-1_0_0_chain,466.2985,"452.2829,434.2723,416.2618",,"452.2829,434.2723,416.2618"
LMST03020031_2-3_0_0_chain,466.2985,"156.1019,138.0913,120.0808,340.2305",,"156.1019,138.0913,120.0808,340.2305"
LMST03020031_4-5_0_0_chain,466.2985,"314.2148,182.1176,164.107,146.0964",,"314.2148,182.1176,164.107,146.0964"
LMST03020032_6-7_0_0_chain,420.3472,"294.2791,276.2686,156.1019,138.0913",,"294.2791,276.2686,156.1019,138.0913"
LMST03020032_0-1_0_0_chain,420.3472,"406.3316,388.321",,"406.3316,388.321"
LMST03020032_4-5_0_0_chain,420.3472,"130.0862,112.0757,320.2948,302.2842",,"130.0862,112.0757,320.2948,302.2842"
LMST03020033_13-14_0_0_chain,428.3159,"288.2322,170.1176,152.107,134.0964",,"288.2322,170.1176,152.107,134.0964"
LMST03020033_15-16_0_0_chain,428.3159,"144.1019,126.0913,108.0808,314.2478",,"144.1019,126.0913,108.0808,314.2478"
LMST03020034_0-1_0_0_chain,428.3159,"414.3002,396.2897,378.2791",,"414.3002,396.2897,378.2791"
LMST03020034_2-3_0_0_chain,428.3159,"156.1019,138.0913,120.0808,302.2478,284.2373",,"156.1019,138.0913,120.0808,302.2478,284.2373"
LMST03020034_4-5_0_0_chain,428.3159,"276.2322,258.2216,182.1176,164.107,146.0964",,"276.2322,258.2216,182.1176,164.107,146.0964"
LMST03020034_17-18_0_0_chain,428.3159,"358.274,340.2635,322.2529,100.0757",,"358.274,340.2635,322.2529,100.0757"
LMST03020034_19-20_0_0_chain,428.3159,"384.2897,366.2791,348.2686",,"384.2897,366.2791,348.2686"
LMST03020035_0-1_0_0_chain,430.3315,"416.3159,398.3053,380.2948",,"416.3159,398.3053,380.2948"
LMST03020035_2-3_0_0_chain,430.3315,"156.1019,138.0913,120.0808,304.2635,286.2529",,"156.1019,138.0913,120.0808,304.2635,286.2529"
LMST03020035_4-5_0_0_chain,430.3315,"278.2478,260.2373,182.1176,164.107,146.0964",,"278.2478,260.2373,182.1176,164.107,146.0964"
LMST03020035_11-12_0_0_chain,430.3315,"316.2271,298.2165,280.206,144.1383,126.1277",,"316.2271,298.2165,280.206,144.1383,126.1277"
LMST03020036_0-1_0_0_chain,430.3315,"416.3159,398.3053,380.2948",,"416.3159,398.3053,380.2948"
LMST03020036_2-3_0_0_chain,430.3315,"156.1019,138.0913,120.0808,304.2635,286.2529",,"156.1019,138.0913,120.0808,304.2635,286.2529"
LMST03020036_4-5_0_0_chain,430.3315,"278.2478,260.2373,182.1176,164.107,146.0964",,"278.2478,260.2373,182.1176,164.107,146.0964"
LMST03020036_11-12_0_0_chain,430.3315,"316.2271,298.2165,280.206,144.1383,126.1277",,"316.2271,298.2165,280.206,144.1383,126.1277"
LMST03020037_0-1_0_0_chain,446.3265,"432.3108,414.3002,396.2897",,"432.3108,414.3002,396.2897"
LMST03020037_2-3_0_0_chain,446.3265,"156.1019,138.0913,120.0808,320.2584,302.2478",,"156.1019,138.0913,120.0808,320.2584,302.2478"
LMST03020037_4-5_0_0_chain,446.3265,"294.2427,276.2322,182.1176,164.107,146.0964",,"294.2427,276.2322,182.1176,164.107,146.0964"
