LMID,SMILES
LMST01010094_12-13_1_-1_ring,CC(C)CCC[C@@H](C)[C@H]1CC[C@@H]2[C@]1(C)CC[C@@H]1[C@@]3(C)CC[C@H](O)[C@@H](C)[C@@H]3C[C@@H]3[NH2+][C@@]321
LMST01010095_4-5_0_-1_chain,CC(C)C[C@H]1[NH2+][C@@H]1[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
LMST01010095_14-15_0_-1_ring,CC(C)C/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@H]4[NH2+][C@@]45C[C@@H](O)CC[C@]5(C)[C@H]3CC[C@]12C
LMST01010095_4-5_1_-1_chain,CC(C)C[C@@H]1[NH2+][C@H]1[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
LMST01010095_14-15_1_-1_ring,CC(C)C/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@@H]4[NH2+][C@]45C[C@@H](O)CC[C@]5(C)[C@H]3CC[C@]12C
LMST01010096_12-13_0_-1_ring,CC(C)CCC[C@@H](C)[C@H]1CC[C@@H]2[C@]1(C)CC[C@]13[NH2+][C@@]21CC[C@H]1C[C@@H](O)CC[C@@]13C
LMST01010096_12-13_1_-1_ring,CC(C)CCC[C@@H](C)[C@H]1CC[C@@H]2[C@]1(C)CC[C@@]13[NH2+][C@]21CC[C@H]1C[C@@H](O)CC[C@@]13C
LMST01010097_11-12_0_-1_ring,CC(C)CCC[C@@H](C)[C@H]1CC[C@]23[NH2+][C@@]24CC[C@H]2C[C@@H](O)CC[C@]2(C)[C@H]4CC[C@]13C
LMST01010097_11-12_1_-1_ring,CC(C)CCC[C@@H](C)[C@H]1CC[C@@]23[NH2+][C@]24CC[C@H]2C[C@@H](O)CC[C@]2(C)[C@H]4CC[C@]13C
LMST01010099_4-5_0_-1_chain,CC(C)C[C@H]1[NH2+][C@@H]1[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
LMST01010099_4-5_1_-1_chain,CC(C)C[C@@H]1[NH2+][C@H]1[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
LMST01010100_16-17_0_-1_ring,C[C@H](CO)CCC(=O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@H]4[NH2+][C@@]45C[C@@H](O)CC[C@]5(C)[C@H]3CC[C@]12C
LMST01010100_16-17_1_-1_ring,C[C@H](CO)CCC(=O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@@H]4[NH2+][C@]45C[C@@H](O)CC[C@]5(C)[C@H]3CC[C@]12C
LMST01010101_16-17_0_-1_ring,C[C@H](CO)CC[C@H](O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@H]4[NH2+][C@@]45C[C@@H](O)CC[C@]5(C)[C@H]3CC[C@]12C
LMST01010101_16-17_1_-1_ring,C[C@H](CO)CC[C@H](O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@@H]4[NH2+][C@]45C[C@@H](O)CC[C@]5(C)[C@H]3CC[C@]12C
LMST01010103_7-8_0_-1_chain,CC(=O)OC(C)(C)[C@H]1[NH2+][C@@H]1C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C[C@H](O)C(=O)C4(C)C)[C@]3(CO)C(=O)C[C@]12C
LMST01010103_22-23_0_-1_ring,CC(=O)OC(C)(C)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3C[C@H]4[NH2+][C@@]45[C@@H](C[C@H](O)C(=O)C5(C)C)[C@]3(CO)C(=O)C[C@]12C
LMST01010103_7-8_1_-1_chain,CC(=O)OC(C)(C)[C@@H]1[NH2+][C@H]1C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C[C@H](O)C(=O)C4(C)C)[C@]3(CO)C(=O)C[C@]12C
LMST01010103_22-23_1_-1_ring,CC(=O)OC(C)(C)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3C[C@@H]4[NH2+][C@]45[C@@H](C[C@H](O)C(=O)C5(C)C)[C@]3(CO)C(=O)C[C@]12C
LMST01010104_7-8_0_-1_chain,CC(=O)OC(C)(C)[C@H]1[NH2+][C@@H]1C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C[C@H](O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C
LMST01010104_22-23_0_-1_ring,CC(=O)OC(C)(C)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3C[C@H]4[NH2+][C@@]45[C@@H](C[C@H](O)C(=O)C5(C)C)[C@]3(C)C(=O)C[C@]12C
LMST01010104_7-8_1_-1_chain,CC(=O)OC(C)(C)[C@@H]1[NH2+][C@H]1C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C[C@H](O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C
LMST01010104_22-23_1_-1_ring,CC(=O)OC(C)(C)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3C[C@@H]4[NH2+][C@]45[C@@H](C[C@H](O)C(=O)C5(C)C)[C@]3(C)C(=O)C[C@]12C
LMST01010105_7-8_0_-1_chain,CC(=O)OC(C)(C)[C@H]1[NH2+][C@@H]1C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](CC[C@H](O)C4(C)C)[C@]3(CO)C(=O)C[C@]12C
LMST01010105_22-23_0_-1_ring,CC(=O)OC(C)(C)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3C[C@H]4[NH2+][C@@]45[C@@H](CC[C@H](O)C5(C)C)[C@]3(CO)C(=O)C[C@]12C
LMST01010105_7-8_1_-1_chain,CC(=O)OC(C)(C)[C@@H]1[NH2+][C@H]1C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](CC[C@H](O)C4(C)C)[C@]3(CO)C(=O)C[C@]12C
LMST01010105_22-23_1_-1_ring,CC(=O)OC(C)(C)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3C[C@@H]4[NH2+][C@]45[C@@H](CC[C@H](O)C5(C)C)[C@]3(CO)C(=O)C[C@]12C
LMST01010106_4-5_0_-1_chain,CC1(C)C(=O)[C@@H](O)C[C@@H]2C1=CC[C@@H]1[C@@]2(C)C(=O)C[C@]2(C)[C@@H]([C@@](C)(O)C(=O)[C@H]3[NH2+][C@@H]3C(C)(C)O)[C@H](O)C[C@@]12C
