,Alignment ID,Fill %,LMID,Average Mz,Theroy MZ,Average Rt(min),Pre RT,RT Score,Average CCS,Pre CCS,CCS Score,Area_mean,Area_std,Sample0_Match MSMS,Sample1_Match MSMS,Sample2_Match MSMS,Sample3_Match MSMS,Sample0_MSMS Score,Sample1_MSMS Score,Sample2_MSMS Score,Sample3_MSMS Score,Sample0_MS Area,Sample1_MS Area,Sample2_MS Area,Sample3_MS Area,Sample0_Final Score,Sample1_Final Score,Sample2_Final Score,Sample3_Final Score,Average_Final Score
2310,13316.0,1.0,LMST01010277_12-13_0_0_ring,442.40564,442.404318,10.792,9.91,0.9128250263618246,224.0118,224.0592771,1.0,4664949.5625,492934.5369,"393.351558,411.362118","393.351558,411.362118","393.351558,411.362118",411.362118,0.75,0.5,0.571,0.4,1091201.0,1037888.0,1028599.0,855553.9,0.882565005272365,0.7825650052723649,0.8109650052723649,0.742565005272365,0.805
432,10941.0,1.0,LMST01010286_14-15_0_0_ring,414.37244,414.37302,8.472,9.25,0.9627172595694478,212.7029,214.5314322,0.939,966029.8594,638466.2545,"365.32026,383.33082",-2,-2,"365.32026,383.33082",0.5,0.0,0.0,0.5,154384.7,,,128412.9,0.7681434519138896,-1.0,-1.0,0.7681434519138896,0.768
306,10714.0,0.5,LMST01010289_14-15_0_0_ring,412.35849,412.35737,8.484,8.94,1.0,215.314,219.3321756,0.485,89009.5117,12361.9267,363.30461,-1.0,-1,381.31517,1.0,0.0,0.0,1.0,25354.34,,,18987.66,0.794,-1.0,-1.0,0.794,0.794
2316,13305.0,1.0,LMST01010304_16-17_0_0_ring,442.40549,442.404318,8.583,8.46,1.0,227.8856,229.013081,1.0,12278825.25,2097023.3587,"393.351558,411.362118",393.351558,411.362118,411.362118,0.143,0.222,0.25,0.067,2572217.0,2403094.0,2328532.0,3049583.0,0.6572,0.6888000000000001,0.7000000000000001,0.6268,0.668
2324,13298.0,1.0,LMST01010304_2-4_0_0_chain,442.40231,442.404318,9.005,8.6,1.0,227.8126,227.3668077,1.0,787858.7812,91181.1565,386.34172,386.34172,386.34172,386.34172,0.5,0.5,1.0,1.0,400809.8,388476.4,376701.7,384036.9,0.8,0.8,1.0,1.0,0.9
2338,13305.0,1.0,LMST01010305_16-17_0_0_ring,442.40549,442.404318,8.583,8.34,1.0,227.8856,229.013081,1.0,12278825.25,2097023.3587,"393.351558,411.362118",393.351558,411.362118,411.362118,0.143,0.222,0.25,0.067,2572217.0,2403094.0,2328532.0,3049583.0,0.6572,0.6888000000000001,0.7000000000000001,0.6268,0.668
2346,13298.0,1.0,LMST01010305_2-4_0_0_chain,442.40231,442.404318,9.005,8.6,1.0,227.8126,227.3668077,1.0,787858.7812,91181.1565,386.34172,386.34172,386.34172,386.34172,0.5,0.5,1.0,1.0,400809.8,388476.4,376701.7,384036.9,0.8,0.8,1.0,1.0,0.9
3115,13497.0,1.0,LMST01010306_16-17_0_0_ring,444.418,444.419967,9.904,9.94,1.0,223.3231,225.2769883,0.932,170372.4336,23769.5143,395.367207,413.377767,395.367207,-1,0.5,0.5,0.5,0.0,42748.34,51754.94,38827.01,,0.7728,0.7728,0.7728,-1.0,0.773
443,10942.0,1.0,LMST01010317_14-15_0_0_ring,414.37244,414.37302,8.472,9.08,1.0,219.6192,217.4541627,0.872,966029.8594,638466.2545,"365.32026,383.33082",365.32026,-2,-1,0.333,0.25,0.0,0.0,259493.3,245797.0,,,0.682,0.6488,-1.0,-1.0,0.665
1807,12402.0,1.0,LMST01010330_24-25_0_0_ring,430.40393,430.404318,10.631,12.76,0.31760102788809175,221.0471,221.1968312,1.0,20160796.5,2388439.282,"381.351558,399.362118","381.351558,399.362118","381.351558,399.362118","381.351558,399.362118",0.818,0.667,0.625,0.429,4837624.0,4979481.0,4734552.0,3879227.0,0.7907202055776184,0.7303202055776183,0.7135202055776184,0.6351202055776184,0.717
