,Alignment ID,Fill %,LMID,Average Mz,Theroy MZ,Average Rt(min),Pre RT,RT Score,Average CCS,Pre CCS,CCS Score,Area_mean,Area_std,Sample0_Match MSMS,Sample1_Match MSMS,Sample2_Match MSMS,Sample3_Match MSMS,Sample0_MSMS Score,Sample1_MSMS Score,Sample2_MSMS Score,Sample3_MSMS Score,Sample0_MS Area,Sample1_MS Area,Sample2_MS Area,Sample3_MS Area,Sample0_Final Score,Sample1_Final Score,Sample2_Final Score,Sample3_Final Score,Average_Final Score
320,15599.0,1.0,LMST01010351_13-14_0_0_ring,414.37238,414.37302,8.346,9.36,0.8492428405086041,219.6193,218.8491891,1.0,296146.8008,137715.6035,365.32026,365.32026,-1,-1,0.5,1.0,0.0,0.0,19285.91,8303.214,,,0.7698485681017209,0.9698485681017209,-1.0,-1.0,0.87
2260,33805.0,1.0,LMST01020003_8-9_0_0_chain,680.63574,680.63397,19.801,20.43,1.0,287.8256,285.8466307,1.0,38717783.0,26745744.2307,"554.49313,369.35156,312.28969,186.14884,156.17467","312.28969,369.35156,554.49313,156.17467","554.49313,369.35156,312.28969,186.14884,156.17467","554.49313,369.35156,312.28969,186.14884,156.17467",0.556,0.667,1.0,0.636,7336313.0,5723825.0,13304000.0,3454908.0,0.8224,0.8668,1.0,0.8544,0.886
2301,33967.0,1.0,LMST01020007_25-26_0_0_ring,682.65094,682.649619,23.016,20.94,0.34348134787367224,287.3173,291.5336483,0.664,220837.1035,194125.3308,"398.37811,367.33591",398.37811,"398.37811,367.33591",398.37811,1.0,0.5,0.667,1.0,55088.94,56870.38,132484.1,27972.77,0.7342962695747345,-1.0,0.6010962695747345,0.7342962695747345,0.69
2236,33683.0,0.75,LMST01020008_8-9_0_0_chain,678.61536,678.618321,20.441,21.12,1.0,289.0359,289.56432,1.0,17622511.75,12607072.4892,"369.35156,554.49313,310.27404","369.35156,554.49313,310.27404","369.35156,154.15902,554.49313,310.27404",-1,0.8,1.0,1.0,0.0,5450218.0,4441424.0,9966542.0,,0.92,1.0,1.0,-1.0,0.973
2194,33516.0,1.0,LMST01020009_5-6_0_0_chain,676.60205,676.602672,21.081,21.08,1.0,288.1404,289.9326232,1.0,242644.0156,120719.3839,-1,"369.35156,308.25839",-1,369.35156,0.0,0.5,0.0,1.0,,53009.04,,35125.5,-1.0,0.8,-1.0,1.0,0.9
2200,33516.0,1.0,LMST01020009_8-9_0_0_chain,676.60205,676.602672,21.081,21.09,1.0,288.1404,287.8412265,1.0,242644.0156,120719.3839,-1,"369.35156,308.25839",-1,369.35156,0.0,0.5,0.0,1.0,,53009.04,,35125.5,-1.0,0.8,-1.0,1.0,0.9
2361,35315.0,0.5,LMST01020013_11-12_0_0_chain,704.63123,704.63397,21.281,21.44,1.0,295.4064,292.5152534,0.876,115702.6523,75891.1236,-1,369.35156,369.35156,-1,0.0,0.5,1.0,0.0,,37996.88,106009.8,,-1.0,0.7504000000000001,0.9504000000000001,-1.0,0.85
2369,35315.0,0.5,LMST01020013_5-6_0_0_chain,704.63123,704.63397,21.281,21.38,1.0,295.4064,293.0096393,0.955,115702.6523,75891.1236,-1,369.35156,369.35156,-1,0.0,0.5,1.0,0.0,,37996.88,106009.8,,-1.0,0.782,0.9820000000000001,-1.0,0.882
2373,35315.0,0.5,LMST01020013_8-9_0_0_chain,704.63123,704.63397,21.281,21.43,1.0,295.4064,295.9427231,1.0,115702.6523,75891.1236,-1,369.35156,369.35156,-1,0.0,0.5,1.0,0.0,,37996.88,106009.8,,-1.0,0.8,1.0,-1.0,0.9
2340,35141.0,1.0,LMST01020014_11-12_0_0_chain,702.6217,702.618321,22.257,21.89,1.0,291.2234,298.1234117,0.262,1651171.6641,1339403.5625,"369.35156,334.27404","194.19031,170.11755,334.27404,369.35156,538.46183","369.35156,538.46183,194.19031,334.27404","369.35156,334.27404",1.0,0.75,1.0,0.5,475615.4,380566.9,771268.1,214553.3,0.7048000000000001,0.6048,0.7048000000000001,-1.0,0.671
