,Alignment ID,Fill %,LMID,Average Mz,Theroy MZ,Average Rt(min),Pre RT,RT Score,Average CCS,Pre CCS,CCS Score,Area_mean,Area_std,Sample0_Match MSMS,Sample1_Match MSMS,Sample2_Match MSMS,Sample3_Match MSMS,Sample0_MSMS Score,Sample1_MSMS Score,Sample2_MSMS Score,Sample3_MSMS Score,Sample0_MS Area,Sample1_MS Area,Sample2_MS Area,Sample3_MS Area,Sample0_Final Score,Sample1_Final Score,Sample2_Final Score,Sample3_Final Score,Average_Final Score
1134,10225.0,1.0,LMST01010400_2-3_0_0_ring,428.38739,428.388669,8.459,8.08,1.0,223.7173,223.6652127,1.0,2902393.75,1137250.0832,"379.335909,397.346469","379.335909,397.346469","379.335909,397.346469",397.346469,0.182,0.25,0.286,0.143,412161.7,776502.2,840338.3,395988.0,0.6728000000000001,0.7000000000000001,0.7144,0.6572,0.686
2722,21244.0,1.0,LMST01020003_8-9_0_0_chain,680.63568,680.63397,19.805,20.51,0.996729777325027,288.668,285.8466307,0.876,2186658.7188,636765.1923,"312.28969,369.35156",312.28969,"312.28969,369.35156,186.14884,554.49313","312.28969,369.35156,554.49313",0.667,1.0,0.8,0.571,304097.8,578601.4,691610.5,350075.0,0.8165459554650055,0.9497459554650055,0.8697459554650055,0.7781459554650054,0.854
2730,21354.0,1.0,LMST01020007_25-26_0_0_ring,682.65082,682.649619,23.026,21.03,0.38124691779990827,287.247,291.5336483,0.653,43441.9287,8110.6287,398.37811,-1,398.37811,-2,1.0,0.0,1.0,0.0,16908.01,,31795.03,,0.7374493835599818,-1.0,0.7374493835599818,-1.0,0.737
2699,21169.0,1.0,LMST01020008_8-9_0_0_chain,678.61938,678.618321,20.455,21.22,0.971135536990104,289.5973,289.56432,1.0,1623142.75,924787.0371,310.27404,"369.35156,310.27404","369.35156,186.14884",554.49313,1.0,1.0,1.0,1.0,444300.0,917831.8,1004998.0,520850.8,0.9942271073980209,0.9942271073980209,0.9942271073980209,0.9942271073980209,0.994
2744,21963.0,1.0,LMST01020014_11-12_0_0_chain,702.62164,702.618321,20.347,21.89,0.5991922460317465,293.7438,298.1234117,0.653,843330.543,864873.1573,369.35156,369.35156,369.35156,-1,1.0,1.0,0.667,0.0,184239.4,338618.3,396606.1,,0.7810384492063494,0.7810384492063494,0.6478384492063494,-1.0,0.737
2747,21963.0,1.0,LMST01020014_14-15_0_0_chain,702.62164,702.618321,20.347,21.91,0.5873359206349225,293.7438,297.8690999,0.692,843330.543,864873.1573,369.35156,369.35156,369.35156,-1,1.0,1.0,0.667,0.0,184239.4,338618.3,396606.1,,0.7942671841269846,0.7942671841269846,0.6610671841269845,-1.0,0.75
2752,21963.0,1.0,LMST01020014_5-6_0_0_chain,702.62164,702.618321,20.347,21.87,0.6078379206349216,293.7438,297.1982318,0.795,843330.543,864873.1573,369.35156,369.35156,369.35156,-1,1.0,1.0,0.667,0.0,184239.4,338618.3,396606.1,,0.8395675841269844,0.8395675841269844,0.7063675841269844,-1.0,0.795
2755,21963.0,1.0,LMST01020014_8-9_0_0_chain,702.62164,702.618321,20.347,21.88,0.6056677857142863,293.7438,297.1548339,0.802,843330.543,864873.1573,369.35156,369.35156,369.35156,-1,1.0,1.0,0.667,0.0,184239.4,338618.3,396606.1,,0.8419335571428572,0.8419335571428572,0.7087335571428572,-1.0,0.798
1138,10225.0,1.0,LMST01030094_13-14_0_0_ring,428.38739,428.388669,8.459,8.75,1.0,223.7173,221.0744511,0.78,2902393.75,1137250.0832,"379.335909,397.346469","379.335909,397.346469","379.335909,397.346469",397.346469,0.182,0.25,0.286,0.143,412161.7,776502.2,840338.3,395988.0,-1.0,0.6120000000000001,0.6264000000000001,-1.0,0.619
1162,10225.0,1.0,LMST01030098_15-16_0_0_ring,428.38739,428.388669,8.459,8.96,1.0,223.7173,221.4158853,0.852,2902393.75,1137250.0832,"379.335909,397.346469","379.335909,397.346469","379.335909,397.346469",397.346469,0.182,0.25,0.286,0.143,412161.7,776502.2,840338.3,395988.0,0.6136,0.6408,0.6552,-1.0,0.637
1178,10225.0,1.0,LMST01030099_12-13_0_0_ring,428.38739,428.388669,8.459,8.86,1.0,223.7173,222.6265599,1.0,2902393.75,1137250.0832,"379.335909,397.346469","379.335909,397.346469","379.335909,397.346469",397.346469,0.182,0.25,0.286,0.143,412161.7,776502.2,840338.3,395988.0,0.6728000000000001,0.7000000000000001,0.7144,0.6572,0.686
1658,11103.0,1.0,LMST01030104_12-13_0_0_ring,442.40549,442.404318,8.613,8.95,1.0,227.2283,226.3502908,1.0,2927290.5938,1055848.738,393.351558,411.362118,393.351558,"393.351558,411.362118",0.5,0.083,0.111,0.182,410311.6,460681.1,841341.3,429138.9,0.8,0.6332,0.6444000000000001,0.6728000000000001,0.688
1184,10223.0,1.0,LMST01030109_1-2_0_0_chain,428.38739,428.388669,7.401,7.85,1.0,220.2721,223.0503844,0.757,888200.2578,656947.7173,358.31042,"340.29986,358.31042",-1,358.31042,0.833,0.625,0.0,0.75,183502.2,322513.1,,176229.6,0.8360000000000001,0.7528,-1.0,0.8028,0.797
1189,10225.0,1.0,LMST01030109_12-13_0_0_ring,428.38739,428.388669,8.459,8.77,1.0,223.7173,222.7959793,1.0,2902393.75,1137250.0832,"379.335909,397.346469","379.335909,397.346469","379.335909,397.346469",397.346469,0.182,0.25,0.286,0.143,412161.7,776502.2,840338.3,395988.0,0.6728000000000001,0.7000000000000001,0.7144,0.6572,0.686
1196,10225.0,1.0,LMST01030110_1-3_0_0_chain,428.38739,428.388669,8.459,7.0,0.6369273557846922,223.7173,225.755023,0.915,2902393.75,1137250.0832,"368.33116,386.34172",386.34172,"368.33116,386.34172","368.33116,386.34172",0.273,0.5,0.714,0.714,412161.7,776502.2,840338.3,395988.0,0.6025854711569385,0.6933854711569385,0.7789854711569385,0.7789854711569385,0.713
1199,10225.0,1.0,LMST01030110_15-16_0_0_ring,428.38739,428.388669,8.459,7.06,0.6662682682088819,223.7173,223.8768077,1.0,2902393.75,1137250.0832,"379.335909,397.346469","379.335909,397.346469","379.335909,397.346469",397.346469,0.182,0.25,0.286,0.143,412161.7,776502.2,840338.3,395988.0,0.6060536536417764,0.6332536536417764,0.6476536536417764,-1.0,0.629
1208,10225.0,1.0,LMST01030111_15-16_0_0_ring,428.38739,428.388669,8.459,8.79,1.0,223.7173,222.3383508,1.0,2902393.75,1137250.0832,"379.335909,397.346469","379.335909,397.346469","379.335909,397.346469",397.346469,0.182,0.25,0.286,0.143,412161.7,776502.2,840338.3,395988.0,0.6728000000000001,0.7000000000000001,0.7144,0.6572,0.686
1214,10223.0,1.0,LMST01030114_15-16_0_0_ring,428.38739,428.388669,7.401,7.9,1.0,220.2721,221.4158853,1.0,888200.2578,656947.7173,397.346469,397.346469,-1,-1,0.333,0.125,0.0,0.0,183502.2,322513.1,,,0.7332000000000001,0.65,-1.0,-1.0,0.692
1251,10225.0,1.0,LMST01030137_11-12_0_0_ring,428.38739,428.388669,8.459,8.88,1.0,223.7173,221.0224271,0.769,2902393.75,1137250.0832,"379.335909,397.346469","379.335909,397.346469","379.335909,397.346469",397.346469,0.182,0.25,0.286,0.143,412161.7,776502.2,840338.3,395988.0,-1.0,0.6076000000000001,0.6220000000000001,-1.0,0.615
