,Alignment ID,Fill %,LMID,Average Mz,Theroy MZ,Average Rt(min),Pre RT,RT Score,Average CCS,Pre CCS,CCS Score,Area_mean,Area_std,Sample0_Match MSMS,Sample1_Match MSMS,Sample2_Match MSMS,Sample3_Match MSMS,Sample0_MSMS Score,Sample1_MSMS Score,Sample2_MSMS Score,Sample3_MSMS Score,Sample0_MS Area,Sample1_MS Area,Sample2_MS Area,Sample3_MS Area,Sample0_Final Score,Sample1_Final Score,Sample2_Final Score,Sample3_Final Score,Average_Final Score
1071,15434.0,1.0,LMST01030111_15-16_0_0_ring,428.39066,428.388669,8.44,8.79,1.0,223.7172,222.3383508,1.0,3855621.75,1831727.7883,379.335909,"379.335909,397.346469",379.335909,"379.335909,397.346469",0.1,0.111,0.333,0.222,441176.4,915979.2,1376401.0,619224.1,0.64,0.6444000000000001,0.7332000000000001,0.6888000000000001,0.677
1075,15434.0,1.0,LMST01030114_15-16_0_0_ring,428.39066,428.388669,8.44,7.9,1.0,223.7172,221.4158853,0.852,3855621.75,1831727.7883,379.335909,"379.335909,397.346469",379.335909,"379.335909,397.346469",0.1,0.111,0.333,0.222,441176.4,915979.2,1376401.0,619224.1,-1.0,-1.0,0.674,0.6295999999999999,0.652
1109,15425.0,1.0,LMST01030137_4-5_0_0_chain,428.38736,428.388669,7.33,8.99,0.5415772743162199,220.1988,220.9396197,1.0,1179092.7812,547552.7528,358.31042,358.31042,358.31042,358.31042,0.7,0.643,0.615,0.444,119489.2,279214.6,409568.1,188537.5,0.7883154548632441,0.7655154548632441,0.754315454863244,0.685915454863244,0.749
1699,16645.0,1.0,LMST01030140_14-15_0_0_ring,444.42126,444.419967,10.982,9.98,0.8544321965204495,225.2246,228.4295705,0.684,3502223.8125,1105570.6476,"395.367207,413.377767","395.367207,413.377767","395.367207,413.377767","395.367207,413.377767",0.429,0.273,0.571,0.5,459821.2,945976.8,967370.2,613758.1,0.6160864393040899,-1.0,0.6728864393040899,0.6444864393040899,0.644
1124,15434.0,1.0,LMST01031024_13-14_0_0_ring,428.39066,428.388669,8.44,8.79,1.0,223.7172,221.0744511,0.78,3855621.75,1831727.7883,379.335909,"379.335909,397.346469",379.335909,"379.335909,397.346469",0.1,0.111,0.333,0.222,441176.4,915979.2,1376401.0,619224.1,-1.0,-1.0,0.6452000000000001,0.6008,0.623
1134,15434.0,1.0,LMST01031027_13-14_0_0_ring,428.39066,428.388669,8.44,9.71,0.7303913567680922,223.7172,222.1764665,1.0,3855621.75,1831727.7883,379.335909,"379.335909,397.346469",379.335909,"379.335909,397.346469",0.1,0.111,0.333,0.222,441176.4,915979.2,1376401.0,619224.1,-1.0,-1.0,0.6792782713536185,0.6348782713536185,0.657
1149,15434.0,1.0,LMST01031028_15-16_0_0_ring,428.39066,428.388669,8.44,9.92,0.626689307016754,223.7172,222.3383508,1.0,3855621.75,1831727.7883,379.335909,"379.335909,397.346469",379.335909,"379.335909,397.346469",0.1,0.111,0.333,0.222,441176.4,915979.2,1376401.0,619224.1,-1.0,-1.0,0.6585378614033508,0.6141378614033508,0.636
1539,16478.0,1.0,LMST01031034_12-13_0_0_ring,442.40216,442.404318,8.598,9.72,0.8003434340306864,227.2283,226.0093498,1.0,3920971.125,1850910.7366,393.351558,-1,393.351558,-1,0.143,0.0,0.1,0.0,392352.9,,1227169.0,,0.6172686868061373,-1.0,0.6000686868061373,-1.0,0.609
1543,16478.0,1.0,LMST01031036_16-17_0_0_ring,442.40216,442.404318,8.598,9.17,1.0,227.2283,226.4829652,1.0,3920971.125,1850910.7366,393.351558,-1,393.351558,-1,0.143,0.0,0.1,0.0,392352.9,,1227169.0,,0.6572,-1.0,0.64,-1.0,0.649
372,14205.0,1.0,LMST01031048_14-15_0_0_ring,414.37231,414.37302,8.517,8.35,1.0,215.4279,217.2845307,0.938,203608.6836,64071.3418,383.33082,-1,383.33082,-1,0.333,0.0,0.667,0.0,14157.65,,34067.82,,0.7084,-1.0,0.8420000000000001,-1.0,0.775
384,14197.0,1.0,LMST01031048_4-5_0_0_chain,414.37231,414.37302,6.554,7.97,0.6587501598118872,215.6487,217.5870311,0.921,180968.5664,74511.8164,344.29477,-1,344.29477,344.29477,0.25,0.0,0.2,0.333,19027.95,,53415.36,24582.09,0.6001500319623775,-1.0,-1.0,0.6333500319623775,0.617
