,Alignment ID,Fill %,LMID,Average Mz,Theroy MZ,Average Rt(min),Pre RT,RT Score,Average CCS,Pre CCS,CCS Score,Area_mean,Area_std,Sample0_Match MSMS,Sample1_Match MSMS,Sample2_Match MSMS,Sample3_Match MSMS,Sample0_MSMS Score,Sample1_MSMS Score,Sample2_MSMS Score,Sample3_MSMS Score,Sample0_MS Area,Sample1_MS Area,Sample2_MS Area,Sample3_MS Area,Sample0_Final Score,Sample1_Final Score,Sample2_Final Score,Sample3_Final Score,Average_Final Score
1699,45128.0,0.75,LMST01020019_2-3_0_0_chain,726.61786,726.618321,21.864,22.75,0.910443285714286,296.2135,300.5446614,0.666,163428.7129,135156.6173,369.35156,-1,369.35156,369.35156,1.0,0.0,0.5,0.5,50390.25,,88650.95,75998.81,0.8484886571428572,-1.0,0.6484886571428572,0.6484886571428572,0.715
1704,45128.0,0.75,LMST01020019_5-6_0_0_chain,726.61786,726.618321,21.864,22.68,0.9429101190476193,296.2135,298.2815377,1.0,163428.7129,135156.6173,369.35156,-1,369.35156,369.35156,1.0,0.0,0.5,0.5,50390.25,,88650.95,75998.81,0.9885820238095239,-1.0,0.7885820238095239,0.7885820238095239,0.855
1707,45128.0,0.75,LMST01020019_8-9_0_0_chain,726.61786,726.618321,21.864,22.67,0.9510878571428575,296.2135,297.1702552,1.0,163428.7129,135156.6173,369.35156,-1,369.35156,"369.35156,604.50878",1.0,0.0,0.5,1.0,50390.25,,88650.95,75998.81,0.9902175714285716,-1.0,0.7902175714285715,0.9902175714285716,0.924
675,22293.0,1.0,LMST01030094_5-6_0_0_chain,428.38736,428.388669,7.342,8.42,0.8193094882182849,219.5384,220.5217398,1.0,580284.0156,20517.2346,344.29477,-1,344.29477,-1,0.167,0.0,0.111,0.0,105137.8,,106640.3,,0.6306618976436571,-1.0,0.608261897643657,-1.0,0.619
695,22293.0,1.0,LMST01030109_1-2_0_0_chain,428.38736,428.388669,7.342,7.85,1.0,219.5384,223.0503844,0.604,580284.0156,20517.2346,358.31042,358.31042,358.31042,358.31042,0.667,0.75,0.889,0.538,105137.8,119206.3,106640.3,117637.8,0.7084,0.7416,0.7972000000000001,0.6568,0.726
702,22295.0,1.0,LMST01030110_1-3_0_0_chain,428.38736,428.388669,8.446,7.0,0.6431178319751681,222.9114,225.755023,0.75,1307590.031,131451.103,"368.33116,386.34172",386.34172,386.34172,386.34172,0.5,0.429,0.4,0.5,259555.9,256061.4,299869.5,317077.6,0.6286235663950337,0.6002235663950337,-1.0,0.6286235663950337,0.619
713,22293.0,1.0,LMST01030114_15-16_0_0_ring,428.38736,428.388669,7.342,7.9,1.0,219.5384,221.4158853,0.941,580284.0156,20517.2346,379.335909,-1,-1,"379.335909,397.346469",0.167,0.0,0.0,0.154,105137.8,,,117637.8,0.6432,-1.0,-1.0,0.638,0.641
731,22293.0,1.0,LMST01030137_4-5_0_0_chain,428.38736,428.388669,7.342,8.99,0.5472915600305054,219.5384,220.9396197,1.0,580284.0156,20517.2346,358.31042,358.31042,358.31042,358.31042,0.667,0.75,0.889,0.538,105137.8,119206.3,106640.3,117637.8,0.7762583120061011,0.8094583120061012,0.8650583120061011,0.7246583120061012,0.794
738,22293.0,1.0,LMST01031024_5-6_0_0_chain,428.38736,428.388669,7.342,8.42,0.8193094882182849,219.5384,220.5217398,1.0,580284.0156,20517.2346,344.29477,-1,344.29477,-1,0.167,0.0,0.111,0.0,105137.8,,106640.3,,0.6306618976436571,-1.0,0.608261897643657,-1.0,0.619
280,20722.0,1.0,LMST01031048_14-15_0_0_ring,414.37228,414.37302,7.582,8.35,0.9695603121649489,218.811,217.2845307,1.0,563374.8594,61314.3526,365.32026,365.32026,365.32026,-1,0.2,0.25,0.2,0.0,77430.48,86668.7,80641.76,,0.6739120624329898,0.6939120624329898,0.6739120624329898,-1.0,0.681
1043,23610.0,1.0,LMST01040125_11-12_0_0_ring,444.42123,444.419967,10.989,9.51,0.6306821454849836,224.4203,225.6976412,1.0,2633385.563,874395.8795,395.367207,"395.367207,413.377767","395.367207,413.377767","395.367207,413.377767",0.429,0.286,0.571,0.222,419964.3,381115.6,694780.9,784769.0,0.6977364290969967,0.6405364290969967,0.7545364290969967,0.6149364290969968,0.677
943,23479.0,1.0,LMST01040131_2-27_0_0_chain,442.40546,442.404318,8.606,8.13,1.0,226.4246,227.2757223,1.0,2806007.938,302159.6904,400.35737,400.35737,400.35737,400.35737,0.667,0.667,0.75,0.333,583118.4,653512.1,541277.4,619600.4,0.8668,0.8668,0.9,0.7332000000000001,0.842
1045,23610.0,1.0,LMST01040133_11-12_0_0_ring,444.42123,444.419967,10.989,9.32,0.5362002881561456,224.4203,225.6976412,1.0,2633385.563,874395.8795,395.367207,"395.367207,413.377767","395.367207,413.377767","395.367207,413.377767",0.429,0.286,0.571,0.222,419964.3,381115.6,694780.9,784769.0,0.6788400576312291,0.6216400576312291,0.7356400576312292,-1.0,0.679
1048,23610.0,1.0,LMST01040134_10-11_0_0_ring,444.42123,444.419967,10.989,9.62,0.6794614305011866,224.4203,225.588222,1.0,2633385.563,874395.8795,395.367207,"395.367207,413.377767","395.367207,413.377767","395.367207,413.377767",0.429,0.286,0.571,0.222,419964.3,381115.6,694780.9,784769.0,0.7074922861002373,0.6502922861002374,0.7642922861002374,0.6246922861002373,0.687
948,23479.0,1.0,LMST01040136_2-27_0_0_chain,442.40546,442.404318,8.606,8.08,1.0,226.4246,224.656202,0.969,2806007.938,302159.6904,400.35737,400.35737,400.35737,400.35737,0.667,0.667,0.75,0.333,583118.4,653512.1,541277.4,619600.4,0.8544,0.8544,0.8876,0.7208000000000001,0.829
1051,23610.0,1.0,LMST01040141_11-12_0_0_ring,444.42123,444.419967,10.989,9.6,0.6718537026420712,224.4203,226.4692034,0.914,2633385.563,874395.8795,395.367207,"395.367207,413.377767","395.367207,413.377767","395.367207,413.377767",0.429,0.286,0.571,0.222,419964.3,381115.6,694780.9,784769.0,0.6715707405284143,0.6143707405284142,0.7283707405284143,-1.0,0.671
1056,23610.0,1.0,LMST01040238_10-11_0_0_ring,444.42123,444.419967,10.989,9.4,0.5768053436393147,224.4203,225.588222,1.0,2633385.563,874395.8795,395.367207,"395.367207,413.377767","395.367207,413.377767","395.367207,413.377767",0.429,0.286,0.571,0.222,419964.3,381115.6,694780.9,784769.0,0.686961068727863,0.629761068727863,0.743761068727863,0.6041610687278629,0.666
42,15801.0,1.0,LMST03020010_9-10_0_0_chain,360.29083,360.289688,7.339,8.52,0.7698012630420092,191.911,192.1664828,1.0,596104.8359,170459.6659,"148.11207,206.19032",206.19032,148.11207,"148.11207,206.19032",0.333,0.143,0.143,0.222,87916.38,77241.63,132171.0,141888.2,0.6871602526084019,0.6111602526084019,0.6111602526084019,0.6427602526084019,0.638
