,mz,diagIonsInChian,diagIonsInRing,characteristicMass,RT,CCS,Standard
LMST02030118_12-13_0_0_ring,414.263867,,383.221667,383.221667,316.1027222,202.1413945,
LMST02030118_15-16_0_0_ring,414.263867,,383.221667,383.221667,60,204.4507739,
LMST02030119_10-11_0_0_ring,342.24274,,"311.20054000000005,293.18998000000005","311.20054000000005,293.18998000000005",274.1516724,188.3743988,
LMST02030120_15-16_0_0_ring,432.238046,,"401.195846,383.185286","401.195846,383.185286",60,207.9638683,
LMST02030121_9-10_0_0_ring,516.331941,,"485.28974100000005,467.27918100000005,449.26862100000005","485.28974100000005,467.27918100000005,449.26862100000005",217.9112244,243.392672,
LMST02030122_15-16_0_0_ring,452.244273,,"421.20207300000004,403.19151300000004,385.18095300000004","421.20207300000004,403.19151300000004,385.18095300000004",118.6337891,206.822006,
LMST02030123_17-18_0_0_ring,464.244273,,"433.20207300000004,415.19151300000004,397.18095300000004","433.20207300000004,415.19151300000004,397.18095300000004",102.14505,209.7744467,
LMST02030123_21-22_0_0_ring,464.244273,,"433.20207300000004,415.19151300000004,397.18095300000004","433.20207300000004,415.19151300000004,397.18095300000004",144.4461365,213.7731368,
LMST02030124_13-14_0_0_ring,414.263867,,383.221667,383.221667,793.8946533,208.6158178,
LMST02030125_0-1_0_0_chain,330.279124,"316.26348,298.25292",,"316.26348,298.25292",498.9968262,188.3697525,
LMST02030125_11-12_0_0_ring,330.279124,,"299.23692400000004,281.22636400000005","299.23692400000004,281.22636400000005",536.3664551,188.1768101,
LMST02030126_9-10_0_0_ring,492.259172,,"461.216972,443.206412,425.195852","461.216972,443.206412,425.195852",60,228.1227959,
LMST02030127_10-11_0_0_ring,314.247826,,"283.205626,265.195066","283.205626,265.195066",479.4238281,184.5380408,
LMST02030128_21-22_0_0_ring,518.311206,,"399.21659,430.25878,487.26901","399.21659,430.25878,487.26901",288.8466492,233.8289599,
LMST02030129_19-20_0_0_ring,490.316292,,"459.274092,441.263532,423.252972","459.274092,441.263532,423.252972",160.6586304,236.8195309,
LMST02030140_11-12_0_0_ring,378.263867,,"347.221667,329.211107,311.20054700000003","347.221667,329.211107,311.20054700000003",223.4099121,190.6510622,
LMST02030141_7-8_0_0_ring,378.263867,,"347.221667,329.211107,311.20054700000003","347.221667,329.211107,311.20054700000003",257.9760742,192.4023737,
LMST02030145_6-7_0_0_ring,390.227482,,359.185282,359.185282,60,193.2364081,
LMST02030147_10-11_0_0_ring,342.24274,,311.20054,311.20054,60,187.5227524,
LMST02030147_14-15_0_0_ring,342.24274,,311.20054,311.20054,60,191.0592913,
LMST02030148_10-11_0_0_ring,360.253303,,"329.21110300000004,311.20054300000004","329.21110300000004,311.20054300000004",60,190.9607502,
LMST02030149_11-12_0_0_ring,362.268953,,"331.22675300000003,313.21619300000003,295.20563300000003","331.22675300000003,313.21619300000003,295.20563300000003",197.7509155,194.3109469,
LMST02030150_9-10_0_0_ring,330.279124,,299.236924,299.236924,431.1602783,190.5845319,
LMST02030151_11-12_0_0_ring,362.268953,,"331.22675300000003,313.21619300000003,295.20563300000003","331.22675300000003,313.21619300000003,295.20563300000003",181.2736816,194.3109469,
LMST02030152_10-11_0_0_ring,346.274038,,"315.23183800000004,297.22127800000004","315.23183800000004,297.22127800000004",84.60205078,187.2573033,
LMST02030153_10-11_0_0_ring,346.274038,,"315.23183800000004,297.22127800000004","315.23183800000004,297.22127800000004",103.4898376,187.2573033,
LMST02030154_6-7_0_0_ring,388.248217,,"357.20601700000003,339.19545700000003,321.18489700000003","357.20601700000003,339.19545700000003,321.18489700000003",244.70047,191.4470548,
LMST02030154_8-9_0_0_ring,388.248217,,"357.20601700000003,339.19545700000003,321.18489700000003","357.20601700000003,339.19545700000003,321.18489700000003",60,197.5053559,
LMST02030158_21-22_0_0_ring,404.243132,,"373.200932,355.190372,337.179812","373.200932,355.190372,337.179812",140.1026611,199.1348664,
LMST02030158_25-26_0_0_ring,404.243132,,"373.200932,355.190372,337.179812","373.200932,355.190372,337.179812",76.86981201,201.4155334,
LMST02030159_10-11_0_0_ring,344.258389,,313.216189,313.216189,60,188.0074835,
LMST02030160_10-11_0_0_ring,358.237654,,327.195454,327.195454,89.73901367,190.166503,
LMST02030161_11-12_0_0_ring,360.253303,,"329.21110300000004,311.20054300000004","329.21110300000004,311.20054300000004",60,194.9736424,
LMST02030163_10-11_0_0_ring,342.24274,,311.20054,311.20054,152.8304443,187.5178867,
LMST02030163_3-4_0_0_ring,342.24274,,311.20054,311.20054,235.6542053,187.7611856,
LMST02030164_3-4_0_0_ring,344.258389,,"313.21618900000004,295.20562900000004","313.21618900000004,295.20562900000004",216.1358337,187.0832112,
LMST02030164_9-10_0_0_ring,344.258389,,"313.21618900000004,295.20562900000004","313.21618900000004,295.20562900000004",172.707489,183.0464267,
LMST02030165_8-9_0_0_ring,392.243132,,"361.200932,343.190372,325.179812","361.200932,343.190372,325.179812",60,192.7634952,
LMST02030166_8-9_0_0_ring,394.258781,,"363.216581,345.206021,327.195461","363.216581,345.206021,327.195461",230.4917297,194.2343708,
LMST02030167_7-8_0_0_ring,362.268953,,"331.22675300000003,313.21619300000003","331.22675300000003,313.21619300000003",210.0563049,189.553023,
LMST02030168_10-11_0_0_ring,360.253303,,"329.21110300000004,311.20054300000004","329.21110300000004,311.20054300000004",60,188.956752,
LMST02030169_10-11_0_0_ring,346.274038,,"315.23183800000004,297.22127800000004","315.23183800000004,297.22127800000004",112.5034485,187.2573033,
LMST02030171_12-13_0_0_ring,376.248217,,"345.20601700000003,327.19545700000003,309.18489700000003","345.20601700000003,327.19545700000003,309.18489700000003",60,195.107509,
LMST02030172_10-11_0_0_ring,362.268953,,"331.22675300000003,313.21619300000003,295.20563300000003","331.22675300000003,313.21619300000003,295.20563300000003",152.1012573,188.1512306,
LMST02030176_12-13_0_0_ring,374.268953,,"343.22675300000003,325.21619300000003","343.22675300000003,325.21619300000003",60,195.659635,
LMST02030177_11-12_0_0_ring,358.237654,,"327.19545400000004,309.18489400000004","327.19545400000004,309.18489400000004",60,189.237547,
LMST02030177_9-10_0_0_ring,358.237654,,"327.19545400000004,309.18489400000004","327.19545400000004,309.18489400000004",98.4395752,194.2716601,
LMST02030178_21-22_0_0_ring,404.243132,,"373.200932,355.190372,337.179812","373.200932,355.190372,337.179812",112.6455383,199.1348664,
LMST02030178_25-26_0_0_ring,404.243132,,"373.200932,355.190372,337.179812","373.200932,355.190372,337.179812",60,201.4155334,
LMST02030179_13-14_0_0_ring,390.227482,,"359.18528200000003,341.17472200000003,323.16416200000003","359.18528200000003,341.17472200000003,323.16416200000003",148.0292053,196.1150506,
LMST02030179_9-10_0_0_ring,390.227482,,"359.18528200000003,341.17472200000003,323.16416200000003","359.18528200000003,341.17472200000003,323.16416200000003",80.98193359,194.7121358,
LMST02030180_13-14_0_0_ring,388.211833,,"357.16963300000003,339.15907300000003","357.16963300000003,339.15907300000003",60,196.4747297,
LMST02030180_9-10_0_0_ring,388.211833,,"357.16963300000003,339.15907300000003","357.16963300000003,339.15907300000003",60,194.5921119,
LMST02030181_8-9_0_0_ring,360.253303,,"329.21110300000004,311.20054300000004","329.21110300000004,311.20054300000004",125.0877075,194.7132303,
LMST02030182_11-12_0_0_ring,360.253303,,"329.21110300000004,311.20054300000004","329.21110300000004,311.20054300000004",60,191.0878134,
LMST02030183_11-12_0_0_ring,362.268953,,"331.22675300000003,313.21619300000003,295.20563300000003","331.22675300000003,313.21619300000003,295.20563300000003",194.2867432,194.3109469,
LMST02030184_10-11_0_0_ring,360.253303,,"329.21110300000004,311.20054300000004","329.21110300000004,311.20054300000004",60,188.956752,
LMST02030186_9-10_0_0_ring,376.248217,,"345.20601700000003,327.19545700000003","345.20601700000003,327.19545700000003",60,191.3898097,
LMST02030189_9-10_0_0_ring,406.258781,,"375.216581,357.206021,339.195461","375.216581,357.206021,339.195461",197.7947083,197.129443,
LMST02030190_9-10_0_0_ring,404.243132,,"373.200932,355.190372,337.179812","373.200932,355.190372,337.179812",60,196.8177697,
LMST02030192_9-10_0_0_ring,374.232568,,343.190368,343.190368,60,191.3235921,
LMST02030193_6-7_0_0_ring,408.238046,,"377.195846,359.185286,341.174726","377.195846,359.185286,341.174726",60,203.2702363,
LMST02030194_6-7_0_0_ring,406.222396,,"375.180196,357.169636,339.159076","375.180196,357.169636,339.159076",60,204.3258975,
LMST02030195_11-12_0_0_ring,376.248217,,"345.20601700000003,327.19545700000003,309.18489700000003","345.20601700000003,327.19545700000003,309.18489700000003",60,191.6094246,
LMST02030201_10-11_0_0_ring,346.274038,,"315.23183800000004,297.22127800000004","315.23183800000004,297.22127800000004",150.0521545,189.279226,
LMST02030205_9-10_0_0_ring,348.289688,,"317.24748800000003,299.23692800000003,281.22636800000004","317.24748800000003,299.23692800000003,281.22636800000004",314.987793,183.7033621,
LMST02030206_9-10_0_0_ring,348.289688,,"317.24748800000003,299.23692800000003,281.22636800000004","317.24748800000003,299.23692800000003,281.22636800000004",311.85672,183.7033621,
LMST02030208_19-20_0_0_ring,362.268953,,"331.22675300000003,313.21619300000003,295.20563300000003","331.22675300000003,313.21619300000003,295.20563300000003",222.4069214,186.0335889,
LMST02030209_0-1_0_0_chain,342.24274,328.22709,,328.22709,377.9977722,189.6351647,
LMST02030209_13-14_0_0_ring,342.24274,,311.20054,311.20054,313.7611084,187.712435,
LMST02030209_9-10_0_0_ring,342.24274,,311.20054,311.20054,239.219635,191.3647556,
LMST02030210_0-1_0_0_chain,316.263475,"302.24783,284.23727",,"302.24783,284.23727",473.8682861,184.4559808,
LMST02030210_7-8_0_0_ring,316.263475,,"285.22127500000005,267.21071500000005","285.22127500000005,267.21071500000005",220.8972778,178.4625657,
LMST02030211_19-20_0_0_ring,364.284602,,"333.242402,315.23184200000003,297.22128200000003","333.242402,315.23184200000003,297.22128200000003",451.7475281,186.5277114,
LMST02030212_0-1_0_0_chain,476.231242,"462.21559,444.20503,426.19447",,"462.21559,444.20503,426.19447",422.0151978,235.0265556,
LMST02030213_0-1_0_0_chain,460.236328,"446.22068,428.21012,410.19956",,"446.22068,428.21012,410.19956",359.7957153,235.0265556,
LMST02030214_0-1_0_0_chain,460.236328,"446.22068,428.21012,410.19956",,"446.22068,428.21012,410.19956",381.9432983,235.0265556,
LMST02030215_0-1_0_0_chain,432.310814,418.29516,,418.29516,817.322998,217.6263762,
LMST02030216_0-1_0_0_chain,430.295165,416.27952,,416.27952,773.5717163,216.5554365,
LMST02030216_20-21_0_0_ring,430.295165,,399.252965,399.252965,813.3114014,219.0722357,
LMST02030217_9-10_0_0_ring,654.384757,,"623.342557,605.331997,587.3214370000001","623.342557,605.331997,587.3214370000001",428.0935364,264.943269,
LMST02030218_9-10_0_0_ring,654.384757,,"623.342557,605.331997,587.3214370000001","623.342557,605.331997,587.3214370000001",422.3548279,266.1976252,
LMST02030219_9-10_0_0_ring,800.44266,,"769.4004600000001,751.3899,733.3793400000001","769.4004600000001,751.3899,733.3793400000001",462.9572144,287.0169992,
LMST02030220_7-8_0_0_ring,830.453223,,"799.411023,781.400463,763.389903","799.411023,781.400463,763.389903",480.0620117,289.5544741,
LMST02030222_12-13_0_0_ring,394.258781,,"363.216581,345.206021,327.195461","363.216581,345.206021,327.195461",97.10461426,191.2371766,
LMST02030223_9-10_0_0_ring,392.243132,,"361.200932,343.190372,325.179812","361.200932,343.190372,325.179812",144.4904175,190.6984115,
LMST02030224_9-10_0_0_ring,392.243132,,"361.200932,343.190372,325.179812","361.200932,343.190372,325.179812",153.3916931,190.6984115,
LMST02030225_9-10_0_0_ring,390.227482,,"359.18528200000003,341.17472200000003","359.18528200000003,341.17472200000003",83.88787842,190.2950804,
LMST02030226_13-14_0_0_ring,434.217311,,"403.175111,385.164551,367.153991","403.175111,385.164551,367.153991",60,202.3297323,
LMST02030226_9-10_0_0_ring,434.217311,,"403.175111,385.164551,367.153991","403.175111,385.164551,367.153991",60,200.7143154,
LMST02030235_8-9_0_0_ring,420.238046,,"389.195846,371.185286,353.174726","389.195846,371.185286,353.174726",60,205.0267083,
LMST02030236_17-18_0_0_ring,462.248609,,"431.206409,413.195849,395.185289","431.206409,413.195849,395.185289",67.16650391,213.1745234,
LMST02030237_17-18_0_0_ring,460.23296,,"429.19076,411.1802","429.19076,411.1802",60,210.4766718,
LMST02030238_14-15_0_0_ring,460.23296,,"429.19076,411.1802,393.16964","429.19076,411.1802,393.16964",327.4390259,210.6249167,
LMST02030238_17-18_0_0_ring,460.23296,,"429.19076,411.1802","429.19076,411.1802",60,207.6156373,
LMST02030239_7-8_0_0_ring,404.243132,,"373.200932,355.190372","373.200932,355.190372",110.2714844,201.1296994,
LMST02030240_5-6_0_0_ring,402.227482,,"371.18528200000003,353.17472200000003","371.18528200000003,353.17472200000003",362.2161865,195.7745342,
LMST02030240_7-8_0_0_ring,402.227482,,"371.18528200000003,353.17472200000003","371.18528200000003,353.17472200000003",64.63116455,200.5629552,
LMST02030241_7-8_0_0_ring,422.253695,,"391.211495,373.200935,355.190375","391.211495,373.200935,355.190375",99.39581299,203.5173939,
LMST02030242_1-2_0_0_chain,462.321378,"102.05495,130.08625,333.24241,434.29008",,"102.05495,130.08625,333.24241,434.29008",65.99438477,221.0687279,
LMST02030243_11-12_0_0_ring,374.232568,,"343.19036800000003,325.17980800000004,307.16924800000004","343.19036800000003,325.17980800000004,307.16924800000004",60,184.3234757,
LMST02030243_9-10_0_0_ring,374.232568,,"343.19036800000003,325.17980800000004,307.16924800000004","343.19036800000003,325.17980800000004,307.16924800000004",104.6618958,189.8816632,
LMST02030244_3-4_0_0_ring,654.384757,,"623.342557,605.331997,587.3214370000001","623.342557,605.331997,587.3214370000001",492.2651062,268.4947647,
LMST02030245_3-4_0_0_ring,654.384757,,"623.342557,605.331997,587.3214370000001","623.342557,605.331997,587.3214370000001",498.1952515,268.1540536,
LMST02030246_3-4_0_0_ring,640.369108,,"609.326908,591.316348,573.305788","609.326908,591.316348,573.305788",470.5345764,266.0080374,
LMST02030247_3-4_0_0_ring,802.421925,,"771.379725,753.369165,735.358605","771.379725,753.369165,735.358605",494.1383667,288.1176206,
LMST02030248_0-1_0_0_chain,682.379671,"639.33748,668.36402,669.37185",,"639.33748,668.36402,669.37185",484.3602295,275.0838746,
LMST02030249_7-8_0_0_ring,376.248217,,"345.20601700000003,327.19545700000003,309.18489700000003","345.20601700000003,327.19545700000003,309.18489700000003",60,188.8975604,
LMST02030250_7-8_0_0_ring,378.263867,,"347.221667,329.211107,311.20054700000003","347.221667,329.211107,311.20054700000003",219.1787109,188.7982728,
LMST02030251_21-22_0_0_ring,390.227482,,"359.18528200000003,341.17472200000003,323.16416200000003","359.18528200000003,341.17472200000003,323.16416200000003",96.10552979,185.8641472,
LMST02030251_5-6_0_0_ring,390.227482,,"359.18528200000003,341.17472200000003,323.16416200000003","359.18528200000003,341.17472200000003,323.16416200000003",60,186.6060796,
LMST02030251_7-8_0_0_ring,390.227482,,"359.18528200000003,341.17472200000003,323.16416200000003","359.18528200000003,341.17472200000003,323.16416200000003",127.8726196,191.4103597,
LMST02030252_10-11_0_0_ring,372.253303,,341.211103,341.211103,60,199.5859039,
LMST02030252_1-2_0_0_chain,372.253303,344.222,,344.222,60,195.917662,
LMST02030253_6-7_0_0_ring,360.253303,,"329.21110300000004,311.20054300000004,293.18998300000004","329.21110300000004,311.20054300000004,293.18998300000004",270.3597107,188.3126787,
LMST02030253_8-9_0_0_ring,360.253303,,"329.21110300000004,311.20054300000004,293.18998300000004","329.21110300000004,311.20054300000004,293.18998300000004",135.6145935,192.7805584,
LMST02030254_11-12_0_0_ring,372.216919,,"341.17471900000004,323.16415900000004","341.17471900000004,323.16415900000004",60,189.7601762,
LMST02030254_9-10_0_0_ring,372.216919,,"341.17471900000004,323.16415900000004","341.17471900000004,323.16415900000004",60,193.6365812,
LMST02030255_11-12_0_0_ring,372.216919,,"341.17471900000004,323.16415900000004","341.17471900000004,323.16415900000004",60,189.7601762,
LMST02030255_9-10_0_0_ring,372.216919,,"341.17471900000004,323.16415900000004","341.17471900000004,323.16415900000004",60,193.6365812,
LMST02030256_11-12_0_0_ring,372.216919,,"341.17471900000004,323.16415900000004","341.17471900000004,323.16415900000004",60,190.0622475,
LMST02030256_9-10_0_0_ring,372.216919,,"341.17471900000004,323.16415900000004","341.17471900000004,323.16415900000004",60,193.7563458,
LMST02030257_10-11_0_0_ring,356.222005,,325.179805,325.179805,60,185.7434603,
LMST02030257_8-9_0_0_ring,356.222005,,325.179805,325.179805,60,190.6021266,
LMST02030258_7-8_0_0_ring,358.20127,,"327.15907000000004,309.14851000000004","327.15907000000004,309.14851000000004",60,181.0247023,
LMST02030258_9-10_0_0_ring,358.20127,,"327.15907000000004,309.14851000000004","327.15907000000004,309.14851000000004",60,185.4277852,
LMST02030259_7-8_0_0_ring,372.216919,,341.174719,341.174719,60,188.2263591,
LMST02030259_9-10_0_0_ring,372.216919,,341.174719,341.174719,60,192.4172915,
LMST02030260_10-11_0_0_ring,356.222005,,"325.17980500000004,307.16924500000005","325.17980500000004,307.16924500000005",60,189.7906207,
LMST02030260_3-4_0_0_ring,356.222005,,"325.17980500000004,307.16924500000005","325.17980500000004,307.16924500000005",60,186.1072593,
LMST02030260_8-9_0_0_ring,356.222005,,"325.17980500000004,307.16924500000005","325.17980500000004,307.16924500000005",60,189.8888467,
LMST02030261_7-8_0_0_ring,374.232568,,"343.19036800000003,325.17980800000004,307.16924800000004","343.19036800000003,325.17980800000004,307.16924800000004",60,188.0886874,
LMST02030261_9-10_0_0_ring,374.232568,,"343.19036800000003,325.17980800000004,307.16924800000004","343.19036800000003,325.17980800000004,307.16924800000004",60,192.2820789,
LMST02030262_12-13_0_0_ring,520.326855,,"489.28465500000004,471.27409500000005,453.26353500000005","489.28465500000004,471.27409500000005,453.26353500000005",229.9871826,231.4883544,
LMST02030262_27-28_0_0_chain,520.326855,"100.11207,158.11755,363.21659,450.24861",,"100.11207,158.11755,363.21659,450.24861",179.1267395,227.8318533,
LMST02030263_10-11_0_0_ring,364.284602,,"333.242402,315.23184200000003,297.22128200000003","333.242402,315.23184200000003,297.22128200000003",396.0269775,191.573003,
LMST02030265_9-10_0_0_ring,392.243132,,"361.200932,343.190372,325.179812","361.200932,343.190372,325.179812",60,196.3157798,
LMST02030266_9-10_0_0_ring,392.243132,,"361.200932,343.190372,325.179812","361.200932,343.190372,325.179812",60,196.3157798,
LMST02030269_10-11_0_0_ring,408.238046,,"377.195846,359.185286,341.174726","377.195846,359.185286,341.174726",60,201.436671,
LMST02030270_9-10_0_0_ring,394.258781,,"363.216581,345.206021,327.195461","363.216581,345.206021,327.195461",205.7314453,196.7406099,
LMST02030271_9-10_0_0_ring,394.258781,,"363.216581,345.206021,327.195461","363.216581,345.206021,327.195461",207.9970398,196.7406099,
LMST03010001_0-1_0_0_chain,426.37302,"412.35737,394.34681",,"412.35737,394.34681",527.5395508,226.5894044,
LMST03010001_22-23_0_0_chain,426.37302,"342.27912,324.26856,114.12772",,"342.27912,324.26856,114.12772",541.6100464,223.0983339,
LMST03010001_7-8_0_0_chain,426.37302,"140.10698,122.09642,316.29986",,"140.10698,122.09642,316.29986",582,220.3,1
LMST03010001_9-10_0_0_chain,426.37302,"290.28421,166.12263,148.11207",,"290.28421,166.12263,148.11207",582,225.0089218,
LMST03010007_0-1_0_0_chain,475.35301,"461.33736,443.3268,425.31624",,"461.33736,443.3268,425.31624",434.2556763,226.3453675,
LMST03010007_2-3_0_0_chain,475.35301,"156.1019,138.09134,120.08078,349.28494,331.27438",,"156.1019,138.09134,120.08078,349.28494,331.27438",286.747406,223.0076866,
LMST03010007_4-5_0_0_chain,475.35301,"323.26929,305.25873,182.11755,164.10699,146.09643",,"323.26929,305.25873,182.11755,164.10699,146.09643",468.3505249,223.5601045,
LMST03010008_0-1_0_0_chain,550.311405,"536.29576,518.2852,500.27464",,"536.29576,518.2852,500.27464",525.0401001,238.8182905,
LMST03010008_22-23_0_0_chain,550.311405,"342.27912,324.26856,238.0661,220.05554",,"342.27912,324.26856,238.0661,220.05554",543.3946533,236.7947197,
LMST03010008_7-8_0_0_chain,550.311405,"140.10698,122.09642,440.23824,422.22768",,"140.10698,122.09642,440.23824,422.22768",539.9942627,235.569272,
LMST03010008_9-10_0_0_chain,550.311405,"414.2226,396.21204,166.12263,148.11207",,"414.2226,396.21204,166.12263,148.11207",529.2226563,237.3408142,
LMST03010009_0-1_0_0_chain,550.311405,"536.29576,518.2852,500.27464",,"536.29576,518.2852,500.27464",511.9728394,238.8182905,
LMST03010009_22-23_0_0_chain,550.311405,"342.27912,324.26856,238.0661,220.05554",,"342.27912,324.26856,238.0661,220.05554",532.663208,236.7947197,
LMST03010009_7-8_0_0_chain,550.311405,"140.10698,122.09642,440.23824,422.22768",,"140.10698,122.09642,440.23824,422.22768",522.1843872,235.569272,
LMST03010009_9-10_0_0_chain,550.311405,"414.2226,396.21204,166.12263,148.11207",,"414.2226,396.21204,166.12263,148.11207",517.6202393,237.3408142,
LMST03010010_0-1_0_0_chain,496.339669,"482.32402,464.31346,446.3029",,"482.32402,464.31346,446.3029",516.8720703,227.4985484,
LMST03010010_22-23_0_0_chain,496.339669,"342.27912,324.26856,184.09437,166.08381",,"342.27912,324.26856,184.09437,166.08381",514.1002808,225.8773316,
LMST03010010_7-8_0_0_chain,496.339669,"140.10698,122.09642,386.26651,368.25595",,"140.10698,122.09642,386.26651,368.25595",514.1258545,224.3219685,
LMST03010010_9-10_0_0_chain,496.339669,"360.25086,342.2403,166.12263,148.11207",,"360.25086,342.2403,166.12263,148.11207",529.7498779,224.291188,
LMST03010011_0-1_0_0_chain,476.353426,"462.33778,444.32722,426.31666",,"462.33778,444.32722,426.31666",502.3677063,233.4171066,
LMST03010011_17-18_0_0_chain,476.353426,"358.27404,340.26348,322.25292,148.11321,130.10265",,"358.27404,340.26348,322.25292,148.11321,130.10265",410.7365112,228.6738756,
LMST03010011_2-3_0_0_chain,476.353426,"156.1019,138.09134,120.08078,350.28535,332.27479",,"156.1019,138.09134,120.08078,350.28535,332.27479",385.2944336,228.4272818,
LMST03010011_4-5_0_0_chain,476.353426,"324.2697,306.25914,182.11755,164.10699,146.09643",,"324.2697,306.25914,182.11755,164.10699,146.09643",531.8369751,229.876292,
LMST03010012_0-1_0_0_chain,476.353426,"462.33778,444.32722,426.31666",,"462.33778,444.32722,426.31666",498.1358643,233.4171066,
LMST03010012_17-18_0_0_chain,476.353426,"358.27404,340.26348,322.25292,148.11321,130.10265",,"358.27404,340.26348,322.25292,148.11321,130.10265",416.5749817,228.6738756,
LMST03010012_2-3_0_0_chain,476.353426,"156.1019,138.09134,120.08078,350.28535,332.27479",,"156.1019,138.09134,120.08078,350.28535,332.27479",392.8799133,228.4272818,
LMST03010012_4-5_0_0_chain,476.353426,"324.2697,306.25914,182.11755,164.10699,146.09643",,"324.2697,306.25914,182.11755,164.10699,146.09643",527.401001,229.876292,
LMST03010014_0-1_0_0_chain,426.37302,"412.35737,394.34681",,"412.35737,394.34681",527.2557373,226.5894044,
LMST03010014_22-23_0_0_chain,426.37302,"342.27912,324.26856,114.12772",,"342.27912,324.26856,114.12772",540.5547485,223.0983339,
LMST03010014_7-8_0_0_chain,426.37302,"140.10698,122.09642,316.29986",,"140.10698,122.09642,316.29986",546.9474487,222.2910877,
LMST03010014_9-10_0_0_chain,426.37302,"290.28421,166.12263,148.11207",,"290.28421,166.12263,148.11207",527.9257202,225.0089218,
LMST03010015_1-2_0_0_ring,426.37302,,"395.33082,377.32026","395.33082,377.32026",531.1207275,223.4531668,
LMST03010015_17-18_0_0_chain,426.37302,"342.27912,324.26856,114.12772",,"342.27912,324.26856,114.12772",538.4859009,225.7923805,
LMST03010015_3-4_0_0_chain,426.37302,"154.12263,136.11207,302.28421",,"154.12263,136.11207,302.28421",548.6552734,226.6975206,
LMST03010015_5-6_0_0_ring,426.37302,,"395.33082,377.32026","395.33082,377.32026",521.713501,224.627998,
LMST03010016_1-2_0_0_ring,426.37302,,"395.33082,377.32026","395.33082,377.32026",529.6206055,223.4531668,
LMST03010016_17-18_0_0_chain,426.37302,"342.27912,324.26856,114.12772",,"342.27912,324.26856,114.12772",539.4866333,225.7923805,
LMST03010016_3-4_0_0_chain,426.37302,"154.12263,136.11207,302.28421",,"154.12263,136.11207,302.28421",548.6552734,226.6975206,
LMST03010016_5-6_0_0_ring,426.37302,,"395.33082,377.32026","395.33082,377.32026",520.1705322,224.627998,
LMST03010017_1-2_0_0_ring,426.37302,,"395.33082,377.32026","395.33082,377.32026",529.8046875,223.870838,
LMST03010017_12-13_0_0_chain,426.37302,"342.27912,324.26856,114.12772",,"342.27912,324.26856,114.12772",543.3193359,226.3749303,
LMST03010017_3-4_0_0_chain,426.37302,"154.12263,136.11207,302.28421",,"154.12263,136.11207,302.28421",550.3233032,226.5107949,
LMST03010017_5-6_0_0_ring,426.37302,,"395.33082,377.32026","395.33082,377.32026",524.4955444,225.818506,
LMST03010018_1-2_0_0_ring,426.37302,,"395.33082,377.32026","395.33082,377.32026",525.0690918,223.4310931,
LMST03010018_22-23_0_0_chain,426.37302,"342.27912,324.26856,114.12772",,"342.27912,324.26856,114.12772",537.7937012,222.4507434,
LMST03010018_7-8_0_0_chain,426.37302,"140.10698,122.09642,316.29986",,"140.10698,122.09642,316.29986",545.9443359,225.2725995,
LMST03010018_9-10_0_0_chain,426.37302,"290.28421,166.12263,148.11207",,"290.28421,166.12263,148.11207",526.6171265,225.8333779,
LMST03010019_1-2_0_0_ring,426.37302,,"395.33082,377.32026","395.33082,377.32026",524.963623,223.4310931,
LMST03010019_22-23_0_0_chain,426.37302,"342.27912,324.26856,114.12772",,"342.27912,324.26856,114.12772",536.7598877,222.4507434,
LMST03010019_7-8_0_0_chain,426.37302,"140.10698,122.09642,316.29986",,"140.10698,122.09642,316.29986",545.9443359,225.2725995,
LMST03010019_9-10_0_0_chain,426.37302,"290.28421,166.12263,148.11207",,"290.28421,166.12263,148.11207",526.4311523,225.8333779,
LMST03010028_0-1_0_0_chain,442.367934,"428.35228,410.34172,392.33116",,"428.35228,410.34172,392.33116",558.8984985,226.2913074,
LMST03010028_17-18_0_0_chain,442.367934,"358.27404,340.26348,322.25292,114.12772",,"358.27404,340.26348,322.25292,114.12772",493.9987488,220.9032907,
LMST03010028_2-3_0_0_chain,442.367934,"156.1019,138.09134,120.08078,316.29986",,"156.1019,138.09134,120.08078,316.29986",547.2304077,221.5368802,
LMST03010028_4-5_0_0_chain,442.367934,"290.28421,182.11755,164.10699,146.09643",,"290.28421,182.11755,164.10699,146.09643",570.5054932,223.2960169,
LMST03010029_0-1_0_0_chain,442.367934,"428.35228,410.34172,392.33116",,"428.35228,410.34172,392.33116",513.6762085,225.0235343,
LMST03010029_22-23_0_0_chain,442.367934,"342.27912,324.26856,130.12263,112.11207",,"342.27912,324.26856,130.12263,112.11207",521.111145,222.0784404,
LMST03010029_7-8_0_0_chain,442.367934,"140.10698,122.09642,332.29477,314.28421",,"140.10698,122.09642,332.29477,314.28421",492.3217163,220.4232077,
LMST03010029_9-10_0_0_chain,442.367934,"306.27912,288.26856,166.12263,148.11207",,"306.27912,288.26856,166.12263,148.11207",524.458252,224.5578322,
LMST03010030_0-1_0_0_chain,442.367934,"428.35228,410.34172,392.33116",,"428.35228,410.34172,392.33116",531.6901855,224.9421869,
LMST03010030_22-23_0_0_chain,442.367934,"342.27912,324.26856,130.12263,112.11207",,"342.27912,324.26856,130.12263,112.11207",513.3843994,222.0027168,
LMST03010030_7-8_0_0_chain,442.367934,"140.10698,122.09642,332.29477,314.28421",,"140.10698,122.09642,332.29477,314.28421",514.7225952,220.5501798,
