,mz,diagIonsInChian,diagIonsInRing,characteristicMass,RT,CCS,Standard
LMST01010464_26-27_0_0_ring,462.357762,,"431.315562,413.305002,395.294442","431.315562,413.305002,395.294442",325.1592102,222.0927354,
LMST01010465_25-26_0_0_ring,446.362848,,"415.320648,397.310088,379.299528","415.320648,397.310088,379.299528",434.4979858,223.4121785,
LMST01010466_16-17_0_0_ring,448.378497,,"417.336297,399.325737,381.315177","417.336297,399.325737,381.315177",602.9472656,221.5652406,
LMST01010467_14-15_0_0_ring,518.34759,,"487.30539,469.29483,451.28427","487.30539,469.29483,451.28427",502.578186,230.7574371,
LMST01010467_8-9_0_0_ring,518.34759,,"487.30539,469.29483,451.28427","487.30539,469.29483,451.28427",505.8338623,231.1430497,
LMST01010468_1-3_0_0_chain,430.367934,"388.32099,370.31043,352.29987",,"388.32099,370.31043,352.29987",406.3702698,221.3289927,
LMST01010468_15-16_0_0_ring,430.367934,,"399.325734,381.315174,363.304614","399.325734,381.315174,363.304614",481.6976318,220.1362956,
LMST01010469_13-14_0_0_ring,506.311206,,"475.26900600000005,457.25844600000005,439.24788600000005","475.26900600000005,457.25844600000005,439.24788600000005",103.8391418,221.1775754,
LMST01010469_15-16_0_0_ring,506.311206,,"475.26900600000005,457.25844600000005,439.24788600000005","475.26900600000005,457.25844600000005,439.24788600000005",189.2399597,222.9551255,
LMST01010469_29-30_0_0_ring,506.311206,,"475.26900600000005,457.25844600000005,439.24788600000005","475.26900600000005,457.25844600000005,439.24788600000005",226.6746521,222.8673755,
LMST01010470_15-16_0_0_ring,508.326855,,"477.28465500000004,459.27409500000005,441.26353500000005","477.28465500000004,459.27409500000005,441.26353500000005",211.4963684,223.7740874,
LMST01010470_29-30_0_0_ring,508.326855,,"477.28465500000004,459.27409500000005,441.26353500000005","477.28465500000004,459.27409500000005,441.26353500000005",253.2396545,222.9969721,
LMST01010471_14-15_0_0_ring,476.337027,,"445.294827,427.284267,409.273707","445.294827,427.284267,409.273707",303.1644592,223.1623675,
LMST01010471_27-28_0_0_ring,476.337027,,"445.294827,427.284267,409.273707","445.294827,427.284267,409.273707",486.0186768,222.7173785,
LMST01010472_15-16_0_0_ring,490.316292,,"459.274092,441.263532,423.252972","459.274092,441.263532,423.252972",113.045929,223.123045,
LMST01010472_28-29_0_0_ring,490.316292,,"459.274092,441.263532,423.252972","459.274092,441.263532,423.252972",251.6255188,221.8171734,
LMST01010473_15-16_0_0_ring,492.331941,,"461.289741,443.279181,425.268621","461.289741,443.279181,425.268621",233.7157288,224.1364035,
LMST01010473_28-29_0_0_ring,492.331941,,"461.289741,443.279181,425.268621","461.289741,443.279181,425.268621",371.0618896,223.1487521,
LMST01010474_15-16_0_0_ring,492.331941,,"461.289741,443.279181,425.268621","461.289741,443.279181,425.268621",182.2288208,223.6099957,
LMST01010474_28-29_0_0_ring,492.331941,,"461.289741,443.279181,425.268621","461.289741,443.279181,425.268621",360.8170776,223.4306649,
LMST01010475_15-16_0_0_ring,494.34759,,"463.30539000000005,445.29483000000005,427.28427000000005","463.30539000000005,445.29483000000005,427.28427000000005",327.4360657,224.7114193,
LMST01010476_15-16_0_0_ring,494.34759,,"463.30539000000005,445.29483000000005,427.28427000000005","463.30539000000005,445.29483000000005,427.28427000000005",401.1901245,224.7114193,
LMST01010477_15-16_0_0_ring,494.34759,,"463.30539000000005,445.29483000000005,427.28427000000005","463.30539000000005,445.29483000000005,427.28427000000005",257.4645691,224.7114193,
LMST01010478_19-20_0_0_ring,548.321769,,"517.279569,499.269009,481.25844900000004","517.279569,499.269009,481.25844900000004",172.5299988,238.7093956,
LMST01010478_6-7_0_0_ring,548.321769,,517.27957,517.27957,60,230.6674997,
LMST01010480_5-6_0_0_chain,464.373411,"116.10698,378.30025,360.28969,342.27913",,"116.10698,378.30025,360.28969,342.27913",502.3803406,223.7647192,
LMST01010481_16-17_0_0_ring,448.378497,,"417.336297,399.325737,381.315177","417.336297,399.325737,381.315177",594.6540527,219.2147917,
LMST01010482_16-17_0_0_ring,448.378497,,"417.336297,399.325737,381.315177","417.336297,399.325737,381.315177",581.6035767,219.2147917,
LMST01010483_14-15_0_0_chain,520.399624,"114.12772,436.30573,418.29517,400.28461",,"114.12772,436.30573,418.29517,400.28461",497.1680298,228.0719148,
LMST01010484_15-16_0_0_chain,538.373803,"450.32138,432.31082,414.30026,118.08625",,"450.32138,432.31082,414.30026,118.08625",410.968811,231.126246,
LMST01010485_1-3_0_0_chain,446.362848,"404.3159,386.30534,368.29478",,"404.3159,386.30534,368.29478",269.7748108,224.0856185,
LMST01010486_24-25_0_0_ring,432.383583,,"401.341383,383.330823,365.320263","401.341383,383.330823,365.320263",597.2869263,217.6086233,
LMST01010487_13-14_0_0_ring,402.336635,,"371.294435,353.283875","371.294435,353.283875",344.0067139,213.1019585,
LMST01010488_17-18_0_0_ring,524.358153,,"493.31595300000004,475.30539300000004,457.29483300000004","493.31595300000004,475.30539300000004,457.29483300000004",389.6392212,228.075984,
LMST01010489_14-15_0_0_ring,608.415664,,"577.373464,559.362904,541.352344","577.373464,559.362904,541.352344",444.7310791,246.8354543,
LMST01010491_1-3_0_0_chain,464.373411,"422.32646,404.3159,386.30534",,"422.32646,404.3159,386.30534",382.8042603,224.7777919,
LMST01010492_3-4_0_0_chain,450.357762,"394.29516,376.2846,358.27404",,"394.29516,376.2846,358.27404",426.5267334,211.013422,
LMST01010493_9-10_0_0_ring,518.34759,,"487.30539,469.29483,451.28427","487.30539,469.29483,451.28427",376.5256958,230.3861126,
LMST01010494_17-18_0_0_ring,518.34759,,"487.30539,469.29483,451.28427","487.30539,469.29483,451.28427",411.9386902,229.2177223,
LMST01010495_9-10_0_0_ring,560.358153,,"529.315953,511.305393","529.315953,511.305393",526.418335,243.5258544,
LMST01010496_18-19_0_0_ring,534.342504,,"503.300304,485.2897439999999,467.279184","503.300304,485.2897439999999,467.279184",426.7490234,228.7825362,
LMST01010497_16-17_0_0_ring,534.342504,,"503.300304,485.2897439999999,467.279184","503.300304,485.2897439999999,467.279184",395.8844604,228.8708405,
LMST01010498_34-35_0_0_ring,576.353067,,"545.310867,527.300307,509.28974700000003","545.310867,527.300307,509.28974700000003",413.0831299,244.2386806,
LMST01010499_18-19_0_0_ring,492.331941,,"461.289741,443.279181,425.268621","461.289741,443.279181,425.268621",411.9976807,222.3695545,
LMST01010500_16-17_0_0_ring,460.342113,,"429.299913,411.289353,393.278793","429.299913,411.289353,393.278793",441.6206665,216.9154339,
LMST01010501_15-16_0_0_ring,446.362848,,"415.320648,397.310088,379.299528","415.320648,397.310088,379.299528",458.3322144,214.707583,
LMST01010502_20-21_0_0_chain,502.352676,"402.30025,384.28969,130.08625,112.07569",,"402.30025,384.28969,130.08625,112.07569",376.506897,232.6545002,
LMST01010502_9-10_0_0_ring,502.352676,,"471.310476,453.299916,435.289356","471.310476,453.299916,435.289356",522.0952759,234.6968776,
LMST01010503_19-20_0_0_ring,428.352284,,"397.310084,379.299524","397.310084,379.299524",406.4732666,216.711131,
