LMID,MZ,diagIonsInChian,diagIonsInRing,MS2,RT,CCS,Standard
LMST01031204_2-3_0_0_chain,450.357762,"102.09133,378.30025,360.28969,342.27913",,"102.09133,378.30025,360.28969,342.27913",470.9942200476189,214.7189664,
LMST01031205_1-2_0_0_chain,508.399624,"144.13828,126.12772,394.29516,376.2846,358.27404",,"144.13828,126.12772,394.29516,376.2846,358.27404",601.6164985521556,225.3161057,
LMST01031206_1-2_0_0_chain,492.404709,"144.13828,126.12772,378.30025,360.28969,342.27913",,"144.13828,126.12772,378.30025,360.28969,342.27913",565.134090850333,227.539514,
LMST01031207_2-3_0_0_chain,496.363239,"116.10698,410.29008,392.27952,374.26896",,"116.10698,410.29008,392.27952,374.26896",524.2413767676803,221.3297933,
LMST01031208_2-3_0_0_chain,480.368325,"116.10698,394.29516,376.2846,358.27404",,"116.10698,394.29516,376.2846,358.27404",507.0372808570379,223.0787857,
LMST01031210_25-26_0_0_ring,460.378497,,"429.336297,411.325737,393.315177","429.336297,411.325737,393.315177",584.1016025746075,224.2264606,
LMST01031210_5-6_0_0_chain,460.378497,"114.12772,376.2846,358.27404,340.26348",,"114.12772,376.2846,358.27404,340.26348",539.4749640611237,218.6981055,
LMST01031211_26-27_0_0_ring,476.373411,,"445.331211,427.320651,409.310091","445.331211,427.320651,409.310091",593.3497633492595,225.3850704,
LMST01031211_5-6_0_0_chain,476.373411,"114.12772,392.27952,374.26896,356.2584",,"114.12772,392.27952,374.26896,356.2584",481.8967155080403,224.8829265,
LMST01031212_18-19_0_0_ring,460.378497,,"429.336297,411.325737,393.315177","429.336297,411.325737,393.315177",575.8487852078503,224.6145887,
LMST01031212_5-6_0_0_chain,460.378497,"114.12772,376.2846,358.27404,340.26348",,"114.12772,376.2846,358.27404,340.26348",408.94147299393285,223.852336,
LMST01031213_5-6_0_0_chain,460.378497,"114.12772,376.2846,358.27404,340.26348",,"114.12772,376.2846,358.27404,340.26348",550.9348467760616,225.3963139,
LMST01031214_22-23_0_0_chain,472.342113,"388.24822,114.12772",,"388.24822,114.12772",623.4643434100464,225.0993289,
LMST01031214_6-7_0_0_ring,472.342113,,441.299913,441.299913,540.7688157405684,223.8256632,
LMST01031215_0-1_0_0_chain,474.357762,"460.34211,442.33155,424.32099",,"460.34211,442.33155,424.32099",330.3544691379341,229.4466971,
LMST01031215_14-15_0_0_ring,474.357762,,"443.315562,425.305002,407.294442","443.315562,425.305002,407.294442",396.38796813986437,229.0018134,
LMST01031216_0-1_0_0_chain,478.38906,"464.37341,446.36285,428.35229",,"464.37341,446.36285,428.35229",550.7636778857527,228.2387012,
LMST01031217_8-9_0_0_chain,534.415273,"170.19032,394.25878,376.24822,358.23766",,"170.19032,394.25878,376.24822,358.23766",573.5042334254553,235.8344417,
LMST01031218_23-24_0_0_chain,506.420359,"170.19032,366.26387,348.25331,330.24275",,"170.19032,366.26387,348.25331,330.24275",576.499206422226,235.8350266,
LMST01031219_1-2_0_0_chain,492.404709,"144.13828,126.12772,378.30025,360.28969,342.27913",,"144.13828,126.12772,378.30025,360.28969,342.27913",389.46072013461526,224.5805626,
LMST01031220_8-21_0_0_ring,566.405101,,"535.362901,517.3523409999999,499.34178099999997","535.362901,517.3523409999999,499.34178099999997",576.8341783864585,243.3783392,
LMST01031221_1-10_0_0_chain,508.399624,"368.24313,350.23257,332.22201,170.19032",,"368.24313,350.23257,332.22201,170.19032",578.3499595940189,230.2325998,
